"","penteVitDiam","nbMaxPrim","vitEmissionPrim","angInitMoyVertPrim","intensiteTropisme","propDiamRamif","distRamif","coeffCroissRad","diamMax","angLat","maxLatAge","duree"
"1",27.12,1,2.11,1.486,0.02985,0.531,2.227,0.407,1.616,1.389,15.769,16
"2",36.245,1,1.081,1.608,0.00078,0.547,5.462,0.149,0.611,0.826,7.82,10
"3",43.799,1,0.249,1.014,0.00679,0.598,1.023,0.331,0.404,0.954,24.924,16
"4",33.533,1,2.221,1.475,0.00607,0.751,2.023,0.044,0.168,1.559,13.665,11
"5",27.679,1,1.413,1.217,0.01121,0.614,4.567,0.297,0.358,1.491,7.065,13
"6",44.862,1,2.348,1.012,0.03236,0.28,2.828,0.456,1.15,1.399,17.006,13
"7",35.567,1,1.091,1.611,0.0178,0.676,2.684,0.409,0.783,1.445,9.658,18
"8",47.642,1,3.284,1.214,0.01725,0.304,4.155,0.449,0.801,1.139,22.252,12
"9",14.155,1,2.9,1.664,0.01617,0.536,2.585,0.312,1.436,1.328,18.633,19
"10",15.922,1,1.512,0.943,0.00392,0.479,3.303,0.173,0.503,1.155,6.89,8
"11",21.48,1,2.109,1.37,0.01407,0.588,4.845,0.481,1.474,1.523,22.103,12
"12",25.052,1,2.87,1.573,0.02604,0.372,2.036,0.376,1.208,1.107,15.334,8
"13",20.294,1,2.811,1.116,0.01253,0.356,1.853,0.137,1.243,1.28,19.932,18
"14",47.906,1,0.902,1.574,0.0177,0.331,1.381,0.326,1.686,1.356,10.605,6
"15",13.93,1,3.27,1.108,0.02228,0.512,3.655,0.047,1.487,1.408,6.584,16
"16",47.271,1,3.854,0.981,0.02307,0.614,2.619,0.066,0.683,1.084,10.826,14
"17",17.04,1,4.881,1.699,0.02664,0.824,2.409,0.005,1.051,1.423,7.036,10
"18",29.867,1,2.8,0.824,0.00967,0.406,2.005,0.422,0.449,1.61,16.554,16
"19",33.856,1,0.167,1.465,0.02611,0.774,2.441,0.315,1.585,1.403,21.417,6
"20",47.748,1,3.23,1.037,0.01695,0.596,4.363,0.052,1.163,1.561,23.249,18
"21",11.114,1,3.246,1.238,0.03466,0.653,2.802,0.448,1.438,1.673,18.119,7
"22",45.772,1,0.645,1.685,0.00292,0.642,5.226,0.362,0.461,1.124,15.533,12
"23",34.736,1,0.333,1.373,0.01304,0.822,3.408,0.22,1.603,1.164,16.907,8
"24",39.213,1,1.26,0.958,0.01949,0.284,5.771,0.271,0.44,1.468,21.492,17
"25",33.523,1,0.534,1.536,0.0233,0.588,4.059,0.192,1.357,0.89,7.628,8
"26",14.194,1,2.915,1.172,0.03425,0.564,2.249,0.226,0.446,1.487,14.674,18
"27",29.235,1,1.003,1.612,0.00127,0.846,4.18,0.399,0.672,1.459,16.323,8
"28",46.339,1,0.186,1.003,0.02318,0.392,1.346,0.392,1.178,1.16,1.159,5
"29",16.633,1,4.295,1.302,0.03294,0.868,2.456,0.238,0.953,1.047,18.675,7
"30",43.028,1,4.026,0.954,0.01861,0.767,4.573,0.314,1.682,1.054,2.304,16
"31",37.241,1,2.146,0.828,0.0219,0.713,5.846,0.088,0.361,1.27,21.937,17
"32",19.576,1,1.897,1.29,0.01951,0.872,2.145,0.101,1.101,1.52,4.517,5
"33",36.565,1,1.695,1.199,0.02637,0.237,3.822,0.377,1.058,1.503,8.062,8
"34",31.74,1,4.823,1.205,0.0215,0.826,4.135,0.313,0.657,1.268,6.422,11
"35",27.153,1,1.796,1.304,0.01902,0.517,1.342,0.075,1.191,1.494,18.253,11
"36",36.807,1,2.409,0.885,0.01772,0.628,4.872,0.056,0.592,1.401,14.322,10
"37",27.834,1,2.337,0.951,0.01751,0.265,3.645,0.351,0.35,1.07,21.429,9
"38",23.598,1,1.284,1.162,0.01498,0.431,2.104,0.274,1.2,1.095,9.238,20
"39",24.013,1,1.145,1.279,0.03462,0.793,4.022,0.105,0.61,1.531,9.307,10
"40",33.774,1,2.242,1.034,0.01245,0.766,1.989,0.493,1.004,1.08,2.313,18
"41",38.032,1,0.247,0.905,0.00997,0.686,3.246,0.476,0.482,1.228,8.715,11
"42",49.249,1,3.751,1.692,0.03244,0.367,3.142,0.344,1.677,1.35,17.987,12
"43",10.714,1,3.012,1.337,0.00779,0.894,4,0.435,0.271,0.832,1.425,17
"44",43.217,1,0.612,1.287,0.02357,0.644,1.412,0.243,0.929,1.387,21.895,9
"45",28.143,1,2.132,1.178,0.01015,0.374,5.529,0.338,0.103,0.985,8.94,13
"46",18.706,1,4.642,1.142,0.02838,0.371,3.979,0.147,0.404,1.481,12.521,17
"47",39.913,1,2.195,0.964,0.00791,0.649,4.621,0.419,0.152,1.341,10.122,16
"48",38.911,1,1.694,1.244,0.00023,0.512,4.733,0.089,1.112,1.16,14.928,8
"49",32.854,1,4.189,0.947,0.03302,0.265,4.141,0.172,1.312,0.81,21.537,11
"50",22.262,1,4.863,1.132,0.02037,0.806,2.541,0.094,1.131,0.913,5.882,16
"51",21.947,1,0.378,0.956,0.00653,0.416,1.606,0.377,0.837,1.316,20.057,20
"52",17.822,1,4.421,0.867,0.01149,0.558,3.511,0.183,1.184,0.986,16.419,19
"53",21.348,1,2.105,0.954,0.00877,0.662,2.589,0.154,1.568,1.363,10.815,14
"54",26.92,1,1.237,1.378,0.02167,0.683,2.462,0.371,0.241,1.346,23.208,9
"55",18.44,1,0.181,1.405,0.01817,0.764,3.952,0.392,0.326,1.638,13.331,19
"56",16.394,1,0.645,1.498,0.02793,0.434,3,0.165,0.768,0.921,23.865,7
"57",17.105,1,0.562,0.956,0.00891,0.83,1.148,0.05,0.737,1.667,4.54,12
"58",21.545,1,4.267,1.329,0.00033,0.574,3.453,0.391,1.611,1.682,19.61,11
"59",47.813,1,0.599,1.578,0.01682,0.357,1.99,0.21,1.37,1.169,4.482,10
"60",49.999,1,2.611,1.167,0.01592,0.412,2.215,0.01,0.719,1.053,2.278,10
"61",35.442,1,2.948,1.357,0.00361,0.623,4.559,0.014,0.166,0.968,3.262,18
"62",11.409,1,4.17,1.275,0.02151,0.519,2.233,0.378,0.717,1.62,15.988,13
"63",48.575,1,3.707,1.647,0.03493,0.365,5.78,0.276,0.656,1.126,7.211,12
"64",36.148,1,2.927,1.392,0.00173,0.226,2.355,0.395,0.45,1.423,16.566,10
"65",37.663,1,0.408,1.576,0.02499,0.591,3.493,0.108,0.144,1.466,18.719,14
"66",20.112,1,2.139,1.003,0.0333,0.831,3.906,0.099,1.042,1.092,6.556,14
"67",31.442,1,3.619,0.987,0.00603,0.383,2.217,0.325,0.987,1.59,7.65,10
"68",39.918,1,3.821,1.435,0.00333,0.894,5.777,0.497,0.245,1.491,21.553,16
"69",12.865,1,0.272,0.891,0.02779,0.744,5.673,0.241,0.225,1.565,5.457,9
"70",26.867,1,0.192,1.478,0.02211,0.718,1.995,0.251,0.831,1.023,15.175,12
"71",49.442,1,0.523,0.895,0.01931,0.241,3.078,0.383,1.552,1.026,23.171,19
"72",20.767,1,0.357,1.497,0.01279,0.559,5.713,0.468,1.585,1.142,15.134,16
"73",26.111,1,3.069,1.219,0.03102,0.708,2.873,0.142,1.118,1.465,2.058,8
"74",34.148,1,0.121,1.4,0.00238,0.893,3.912,0.417,0.91,1.164,14.461,9
"75",27.988,1,1.613,1.105,0.02246,0.557,1.294,0.119,0.62,1.004,23.968,12
"76",23.579,1,2.245,1.582,0.02439,0.845,5.686,0.341,0.854,1.22,20.379,15
"77",30.975,1,4.038,1.34,0.03459,0.58,5.889,0.115,1.199,1.391,5.985,5
"78",27.252,1,2.356,1.111,0.01387,0.292,3.718,0.068,1.362,1.19,21.566,12
"79",24.58,1,2.006,0.838,0.02079,0.216,1.62,0.24,0.524,1.626,19.31,8
"80",14.041,1,4.881,1.604,0.0111,0.686,2.695,0.453,1.45,1.425,21.23,8
"81",14.877,1,3.89,0.961,0.03305,0.392,5.152,0.199,0.994,1.49,9.029,12
"82",14.631,1,3.128,1.34,0.03014,0.816,2.35,0.171,0.75,0.825,4.302,14
"83",19.335,1,0.789,1.094,0.03135,0.245,4.479,0.089,0.335,1.514,12.615,10
"84",11.8,1,3.565,1.061,0.00274,0.474,3.939,0.137,0.931,0.869,13.52,16
"85",13.879,1,0.662,1.233,0.01434,0.834,3.546,0.073,0.989,1.092,5.437,8
"86",40.428,1,4.524,1.259,0.02085,0.79,5.024,0.447,1.198,1.514,24.695,14
"87",22.667,1,1.88,1.305,0.01464,0.583,1.505,0.211,0.289,1.376,23.947,20
"88",10.397,1,1.819,1.376,0.00444,0.875,3.198,0.46,1.397,1.347,21.538,15
"89",18.933,1,0.541,1.141,0.00919,0.382,5.445,0.028,0.462,1.077,16.929,16
"90",31.563,1,1.576,1.306,0.02294,0.785,2.07,0.336,0.542,1.111,11.775,10
"91",15.536,1,1.402,1.242,0.0013,0.27,1.347,0.281,1.012,1.056,15.261,11
"92",36.418,1,3.473,1.009,0.02898,0.696,3.593,0.451,0.665,1.334,6.436,19
"93",12.941,1,1,1,0.00748,0.802,4.348,0.231,0.858,1.089,19.242,17
"94",33.388,1,2.398,0.802,0.00757,0.507,3.564,0.082,0.504,1.155,17.236,16
"95",35.333,1,2.692,0.942,0.01214,0.879,1.129,0.011,1.223,1.559,19.156,18
"96",12.325,1,0.953,1.412,0.00515,0.753,3.59,0.154,1.557,1.11,9.867,15
"97",29.622,1,4.309,1.365,0.01199,0.562,1.907,0.352,0.178,1.341,1.047,17
"98",10.299,1,4.905,1.559,0.03245,0.264,3.7,0.058,1.24,1.247,12.77,13
"99",39.077,1,4.328,1.446,0.01931,0.379,5.941,0.335,0.654,1.642,22.425,15
"100",44.809,1,3.724,1.677,0.01819,0.499,1.611,0.177,1.308,0.882,2.632,15
"101",29.859,1,3.851,0.907,0.02769,0.325,3.229,0.335,1.048,1.682,14.207,10
"102",21.597,1,3.687,0.983,0.01343,0.294,5.005,0.231,1.142,0.843,21.658,10
