"","penteVitDiam","nbMaxPrim","vitEmissionPrim","angInitMoyVertPrim","intensiteTropisme","propDiamRamif","distRamif","coeffCroissRad","diamMax","angLat","maxLatAge","duree"
"1",28.942,47,3.347,1.271,0.00865,0.654,4.205,0,1.119,1.55,3.575,15
"2",42.351,18,1.076,1.065,0.03298,0.403,2.319,0,1.272,0.983,2.835,13
"3",30.745,67,4.851,1.53,0.00048,0.641,5.102,0,0.208,1.245,7.261,7
"4",19.748,34,0.953,1.61,0.0156,0.714,1.846,0,0.641,1.681,3.48,15
"5",17.669,16,1.431,1.083,0.01022,0.868,4.034,0,1.041,1.146,6.263,16
"6",27.314,31,3.058,1.412,0.01755,0.796,4.015,0,0.74,1.044,12.39,7
"7",33.578,57,4.826,0.986,0.01796,0.796,4.428,0,0.809,1.579,19.995,8
"8",12.926,14,4.029,1.629,0.0094,0.405,2.123,0,0.194,1.285,19.521,12
"9",11.485,63,3.976,0.904,0.00236,0.84,2.752,0,1.601,1.082,19.404,9
"10",16.282,56,0.647,0.87,0.01348,0.862,4.305,0,0.503,1.447,6.944,12
"11",34.285,14,0.607,1.077,0.0207,0.617,1.07,0,0.71,1.307,24.809,16
"12",21.197,29,1.781,0.957,0.02069,0.479,3.643,0,1.204,1.513,8.228,15
"13",11.132,55,2.326,1.18,0.02485,0.483,3.199,0,0.453,1.225,3.949,11
"14",44.073,49,3.771,1.695,0.01378,0.819,4.558,0,0.688,1.232,12.462,20
"15",35.26,49,0.705,1.193,0.03047,0.221,3.351,0,1.364,1.388,6.184,5
"16",21.336,18,1.308,1.269,0.00405,0.727,1.592,0,0.901,1.161,3.252,20
"17",48.159,14,1.922,1.642,0.00734,0.608,4.826,0,1.225,1.539,22.763,5
"18",26.13,20,3.448,1.193,0.01971,0.651,3.851,0,0.988,1.562,7.853,7
"19",45.438,68,1.541,1.217,0.02931,0.504,1.688,0,1.459,1.296,17.172,15
"20",23.35,60,2.178,1.25,0.03324,0.384,1.796,0,0.253,1.152,2.768,18
"21",47.496,60,4.051,1.454,0.00344,0.883,5.08,0,0.678,0.878,21.678,15
"22",27.534,29,4.548,1.192,0.02858,0.444,1.127,0,1.669,1.634,1.679,19
"23",26.012,46,1.038,1.681,0.01069,0.317,1.297,0,0.595,1.121,11.252,6
"24",41.907,54,2.493,1.511,0.01905,0.703,2.324,0,0.502,1.471,3.993,12
"25",49.696,28,3.461,1.621,0.00661,0.633,4.374,0,1.619,1.222,7.404,17
"26",19.196,34,3.614,0.87,0.00609,0.725,3.767,0,0.344,1.51,13.323,18
"27",10.843,60,0.299,0.943,0.00896,0.695,1.031,0,1.157,1.042,1.631,11
"28",35.005,22,0.201,1.086,0.02055,0.442,5.302,0,0.472,1.599,23.734,19
"29",44.568,53,1.294,1.601,0.0182,0.316,2.214,0,0.145,0.948,20.368,20
"30",33.636,52,0.357,1.173,0.01136,0.878,2.686,0,1.577,0.936,17.951,13
"31",19.228,47,3.264,1.262,0.02575,0.878,4.227,0,0.959,1.612,11.496,19
"32",21.629,59,4.58,1.211,0.01786,0.64,3.336,0,0.849,1.343,19.685,9
"33",22.475,50,0.778,1.239,0.00845,0.274,1.355,0,1.517,1.047,20.774,15
"34",48.713,13,3.641,0.937,0.03169,0.73,3.756,0,0.846,1.438,16.781,8
"35",36.326,44,1.555,1.259,0.02492,0.288,3.52,0,1.425,0.858,20.733,9
"36",46.544,63,1.484,1.251,0.00794,0.255,4.074,0,1.418,1.605,9.211,17
