"","penteVitDiam","nbMaxPrim","vitEmissionPrim","angInitMoyVertPrim","intensiteTropisme","propDiamRamif","distRamif","coeffCroissRad","diamMax","angLat","maxLatAge","duree"
"1",14.491,1,4.934,1.673,0.02081,0.491,4.417,0.025,0.348,1.597,13.574,14
"2",23.448,1,3.321,1.141,0.03126,0.497,1.303,0.421,1.238,1.043,20.686,6
"3",31.947,1,4.747,0.863,0.01717,0.867,1.5,0.466,0.535,0.978,22.809,20
"4",22.14,1,1.9,1.147,0.02448,0.716,3.737,0.496,1.625,1.562,2.648,18
"5",10.467,1,4.809,0.867,0.03426,0.479,1.723,0.482,1.563,0.842,23.796,14
"6",14.563,1,3.371,1.399,0.01588,0.481,5.019,0.135,0.475,1,7.81,10
"7",46.736,1,2.088,1.043,0.00953,0.837,1.96,0.024,1.293,1.341,24.081,9
"8",25.621,1,3.967,1.455,0.01638,0.56,2.713,0.033,0.67,1.192,16.807,9
"9",48.462,1,2.365,1.215,0.03027,0.265,2.718,0.207,1.048,1.003,17.694,18
"10",39.548,1,3.343,0.993,0.01468,0.615,5.564,0.217,1.011,1.352,20.126,5
"11",18.535,1,0.244,1.598,0.0303,0.398,5.865,0.099,1.539,1.651,18.99,10
"12",15.337,1,3.237,0.996,0.01413,0.556,1.924,0.214,0.956,1.126,20.328,7
"13",16.407,1,3.166,0.941,0.00578,0.746,3.784,0.329,1.446,0.826,6.04,19
"14",18.668,1,2.906,1.511,0.02927,0.352,3.47,0.079,0.119,0.877,7.97,9
"15",29.908,1,1.991,0.93,0.02012,0.879,4.318,0.137,0.532,1.038,17.4,11
"16",27.026,1,2.582,1.237,0.00204,0.358,4.488,0.299,0.666,1.271,15.919,12
"17",10.037,1,0.728,0.876,0.00429,0.89,2.675,0.192,1.142,1.135,6.349,11
"18",44.395,1,4.854,1.069,0.02012,0.795,2.398,0.227,0.446,1.475,23.525,15
"19",15.224,1,3.329,1.671,0.00336,0.276,3.401,0.127,1.203,0.88,8.654,13
"20",16.524,1,4.218,1.089,0.00676,0.218,5.169,0.026,1.215,1.034,19.71,16
"21",26.046,1,3.744,1.535,0.02654,0.885,2.769,0.2,0.558,1.035,19.86,5
"22",25.162,1,2.208,1.13,0.00475,0.696,2.727,0.425,1.413,1.085,1.556,19
"23",22.684,1,2.36,0.951,0.01285,0.402,1.444,0.492,1.129,1.296,21.509,14
"24",28.736,1,4.98,1.134,0.02264,0.787,1.955,0.092,0.194,1.445,23.367,18
"25",31.778,1,0.53,0.868,0.0006,0.358,2.053,0.171,0.779,1.675,5.175,6
"26",38.42,1,1.643,0.821,0.00692,0.62,2.08,0.206,1.322,1.118,3.193,12
"27",32.793,1,4.691,1.435,0.00084,0.295,2.692,0.16,0.607,1.186,18.242,17
"28",46.025,1,2.115,1.337,0.02168,0.725,4.877,0.183,1.024,1.208,20.067,10
"29",38.31,1,4.754,1.097,0.01094,0.341,2.516,0.241,0.69,1.196,21.344,16
"30",18.463,1,2.755,1.294,0.01791,0.646,3.994,0.228,1.606,1.074,21.015,13
"31",37.544,1,2.567,1.006,0.01651,0.609,2.461,0.285,1.208,0.957,5.299,6
"32",28.726,1,4.962,0.944,0.01942,0.339,1.302,0.263,1.516,1.56,22.784,14
"33",45.859,1,1.7,1.095,0.01066,0.789,2.368,0.497,0.803,1.163,7.971,6
"34",22.421,1,3.586,1.17,0.01556,0.339,1.255,0.274,1.364,1.226,20.26,19
"35",41.068,1,2.904,1.439,0.02878,0.678,3.637,0.481,0.322,1.043,2.278,6
"36",26.907,1,1.841,1.046,0.0072,0.348,1.605,0.226,1.686,0.917,20.715,19
"37",13.559,1,4.047,1.038,0.00694,0.477,2.549,0.077,0.464,1.631,8.301,7
"38",13.678,1,2.633,1.35,0.01657,0.365,4.145,0.489,0.206,1.39,5.868,15
"39",11.106,1,1.876,1.583,0.02921,0.444,5.193,0.028,0.369,1.34,3.635,12
"40",28.638,1,0.781,1.409,0.03436,0.583,1.661,0.06,1.438,1.561,6.535,5
"41",45.92,1,4.962,0.965,0.02619,0.693,5.954,0.27,1.02,0.999,10.098,10
"42",27.529,1,3.927,0.875,0.03178,0.4,3.815,0.188,1.42,1.515,9.063,10
"43",38.576,1,3.428,0.827,0.02766,0.579,5.837,0.438,0.92,1.419,17.842,7
"44",25.202,1,4.679,1.645,0.01892,0.854,5.728,0.399,1.417,0.892,15.09,9
"45",37.395,1,0.567,1.02,0.02771,0.331,1.752,0.498,1.157,1.125,9.035,20
"46",22.858,1,0.463,1.371,0.00062,0.472,1.098,0.245,1.098,1.298,12.516,11
"47",39.402,1,2.771,1.298,0.00706,0.702,5.097,0.094,0.489,1.538,1.117,9
"48",32.739,1,2.256,1.25,0.00631,0.582,1.706,0.098,1.388,0.957,10.706,15
"49",31.241,1,4.998,1.392,0.0051,0.592,1.709,0.169,0.338,1.672,10.434,18
"50",45.079,1,1.907,1.029,0.03092,0.6,5.624,0.255,1.369,1.491,13.23,16
"51",36.333,1,0.73,1.525,0.0339,0.823,1.846,0.3,0.981,1.393,18.672,9
"52",36.574,1,3.492,1.529,0.02809,0.526,1.316,0.44,1.661,1.448,9.488,14
"53",27.327,1,3.492,1.236,0.02854,0.345,1.263,0.177,1.663,1.631,21.982,16
"54",44.777,1,0.907,1.575,0.01643,0.379,4.176,0.094,0.438,1.495,24.484,11
"55",33.583,1,0.316,1.085,0.02629,0.264,2.94,0.481,0.824,1.625,2.037,6
"56",32.22,1,4.791,1.447,0.03436,0.779,1.387,0.171,1.46,1.333,15.028,16
"57",29.747,1,1.996,1.499,0.03025,0.799,5.749,0.367,0.573,1.604,7.031,12
"58",37.697,1,2.137,1.261,0.00682,0.403,3.786,0.048,0.865,0.971,3.623,8
"59",44.302,1,1.18,1.235,0.01318,0.468,4.953,0.17,0.716,1.094,1.401,14
"60",13.62,1,3.102,1.507,0.00766,0.368,3.375,0.024,0.764,1.282,24.554,9
"61",34.959,1,2.963,1.418,0.0269,0.763,4.11,0.388,1.018,1.61,2.452,6
"62",18.307,1,0.861,0.831,0.00698,0.241,5.693,0.053,1.487,1.012,17.812,12
"63",13.488,1,0.53,1.62,0.01584,0.422,3.832,0.492,1.282,1.423,5.46,16
"64",23.478,1,1.772,1.353,0.03222,0.289,4.491,0.265,1.579,1.195,22.438,15
"65",19.505,1,1.553,1.529,0.00346,0.376,3.131,0.357,1.1,0.972,13.275,11
"66",44.198,1,4.895,1.342,0.00923,0.719,2.693,0.048,1.633,1.449,6.167,11
"67",23.59,1,2.121,1.475,0.03408,0.536,2.467,0.093,0.34,1.649,13.685,10
"68",36.031,1,3.031,1.642,0.01339,0.475,5.399,0.095,0.339,1.126,17.631,18
"69",22.228,1,1.33,1.566,0.03217,0.203,3.4,0.493,1.495,1.644,4.727,17
"70",37.93,1,2.469,1.646,0.01247,0.311,5.518,0.424,0.14,0.888,12.821,16
"71",42.297,1,3.285,0.906,0.01503,0.772,5.933,0.22,1.299,1.365,18.181,7
"72",39.282,1,3.948,1.631,0.03491,0.82,1.123,0.327,0.687,0.811,9.577,16
"73",22.348,1,3.217,1.643,0.02037,0.489,3.792,0.02,0.506,1.677,13.647,9
"74",41.669,1,3.267,1.618,0.02813,0.698,1.26,0.042,0.371,0.909,14.278,10
"75",26.687,1,4.102,1.339,0.01386,0.276,1.713,0.209,0.578,1.518,6.826,6
"76",20.201,1,3.416,1.661,0.01931,0.678,5.699,0.035,1.188,0.886,8.959,7
"77",46.549,1,3.809,1.579,0.01664,0.495,2.462,0.328,0.9,1.113,3.116,18
"78",30.17,1,0.292,1.269,0.0099,0.562,4.827,0.289,1.671,0.889,22.905,6
"79",15.324,1,4.162,1.302,0.00923,0.316,1.622,0.376,0.44,1.033,3.822,19
"80",17.158,1,4.537,1.663,0.0149,0.309,5.595,0.012,0.728,1.59,19.365,6
"81",36.58,1,3.837,1.465,0.00847,0.666,4.391,0.499,1.355,1.309,5.399,5
