image,tot_root_length,width,depth,direction,n_primary,tot_prim_length,mean_prim_length,mean_prim_diameter,mean_lat_density,n_laterals, tot_lat_length,mean_lat_length,mean_lat_diameter,mean_lat_angle,tree_size,tree_magnitude,tree_altitude,tree_index
monocot-3D-15-1-1.6-0.001-0.5-4-0-0.4-0.5-15-r3-12.rsml,4667.2114,567.0,587.0,267.9856,9,2658.0,295.85608,4.537723,0.038555406,22,1995.0,91.11396,2.2054703,29.337025,53,31.0,9.0,0.29032257
monocot-3D-15-1-1.6-0.001-0.5-4-0-0.4-0.5-25-r3-12.rsml,4717.473,662.0,516.0,268.29977,9,2552.0,284.13666,4.495343,0.041179933,23,2150.0,93.923584,2.195771,31.291456,55,32.0,9.0,0.28125
monocot-3D-15-1-1.6-0.001-0.5-4-0-0.4-0.5-35-r3-12.rsml,4762.6343,502.0,587.0,260.21704,9,2787.0,310.24115,4.698819,0.03570094,21,1960.0,93.83167,2.2807055,24.946726,51,30.0,9.0,0.3
monocot-3D-15-1-1.6-0.001-0.5-4-0-0.4-0.5-5-r3-12.rsml,2786.6025,646.0,529.0,293.59296,9,2617.0,291.26025,4.259261,0.0,2,164.0,82.63011,2.0512688,25.366531,13,11.0,9.0,0.8181818
monocot-3D-15-1-1.6-0.001-0.5-4-0-0.4-1-15-r3-12.rsml,3857.466,418.0,518.0,244.61275,9,2565.0,285.556,4.438067,0.030835606,15,1277.0,85.83081,2.1686919,49.58925,39,24.0,9.0,0.375
monocot-3D-15-1-1.6-0.001-0.5-4-0-0.4-1-25-r3-12.rsml,4424.804,672.0,525.0,257.62885,9,2712.0,301.56934,4.3412337,0.030215628,17,1703.0,100.628235,2.1440403,51.007965,43,26.0,9.0,0.34615386
monocot-3D-15-1-1.6-0.001-0.5-4-0-0.4-1-35-r3-12.rsml,4284.5303,510.0,589.0,264.8938,9,2549.0,283.58838,4.498929,0.04049496,20,1721.0,86.61173,2.2022047,48.81981,49,29.0,9.0,0.31034482
monocot-3D-15-1-1.6-0.001-0.5-4-0-0.4-1-5-r3-12.rsml,3322.1975,490.0,585.0,277.1655,9,2753.0,306.3873,4.6657004,0.05421356,7,562.0,80.673134,2.2710419,59.297497,23,16.0,9.0,0.5625
monocot-3D-15-1-1.6-0.001-0.5-4-0-0.4-1.5-15-r3-12.rsml,3550.249,598.0,525.0,244.6513,9,2652.0,295.33008,4.3358016,0.03838662,13,886.0,68.636795,2.1238015,74.01988,35,22.0,9.0,0.4090909
monocot-3D-15-1-1.6-0.001-0.5-4-0-0.4-1.5-25-r3-12.rsml,4519.7275,577.0,590.0,247.9963,9,2704.0,300.82196,4.6737943,0.044796936,23,1799.0,78.796936,2.266172,73.41678,55,32.0,9.0,0.28125
monocot-3D-15-1-1.6-0.001-0.5-4-0-0.4-1.5-35-r3-12.rsml,4408.8804,670.0,575.0,244.41795,9,2764.0,307.72412,4.615783,0.04878949,22,1628.0,74.51647,2.2407544,62.214516,53,31.0,9.0,0.29032257
monocot-3D-15-1-1.6-0.001-0.5-4-0-0.4-1.5-5-r3-12.rsml,2759.1997,547.0,526.0,264.98938,9,2686.0,298.9949,4.458391,0.0,2,67.0,34.122623,2.2090626,12.642325,13,11.0,9.0,0.8181818
monocot-3D-15-1-1.6-0.001-0.5-4-0-0.9-0.5-15-r3-12.rsml,19848.305,1089.0,1461.0,255.72824,10,7609.0,761.4279,10.504508,0.033246033,69,12200.0,177.30472,5.0251837,19.717981,148,79.0,19.0,0.24050634
monocot-3D-15-1-1.6-0.001-0.5-4-0-0.9-0.5-25-r3-12.rsml,22371.36,878.0,1396.0,262.10803,10,6754.0,675.8263,10.302609,0.043954045,82,15573.0,190.40364,4.9249034,20.749186,174,92.0,22.0,0.23913044
monocot-3D-15-1-1.6-0.001-0.5-4-0-0.9-0.5-35-r3-12.rsml,26203.46,1108.0,1465.0,279.88846,10,7523.0,752.75006,10.602745,0.03495205,87,18633.0,214.6662,5.052635,20.514458,184,97.0,23.0,0.2371134
monocot-3D-15-1-1.6-0.001-0.5-4-0-0.9-0.5-5-r3-12.rsml,12796.605,1134.0,1393.0,267.21738,10,7093.0,709.80695,10.214976,0.021361204,43,5679.0,132.52411,4.9111524,25.158197,96,53.0,13.0,0.24528302
monocot-3D-15-1-1.6-0.001-0.5-4-0-0.9-1-15-r3-12.rsml,17197.533,973.0,1330.0,258.1513,10,6705.0,671.06165,9.916505,0.02755165,68,10449.0,154.21938,4.7344236,49.18999,146,78.0,21.0,0.26923078
monocot-3D-15-1-1.6-0.001-0.5-4-0-0.9-1-25-r3-12.rsml,18712.088,769.0,1349.0,251.12434,10,6117.0,612.1505,9.73241,0.052032113,74,12554.0,170.14299,4.662625,46.735718,158,84.0,20.0,0.23809524
monocot-3D-15-1-1.6-0.001-0.5-4-0-0.9-1-35-r3-12.rsml,20112.244,969.0,1334.0,270.7801,10,7117.0,712.25555,9.707517,0.03075512,75,12949.0,173.19582,4.6432085,41.515327,160,85.0,20.0,0.23529412
monocot-3D-15-1-1.6-0.001-0.5-4-0-0.9-1-5-r3-12.rsml,14505.577,865.0,1404.0,276.92334,10,6995.0,699.86646,10.143642,0.029380547,54,7480.0,139.01689,4.8675823,40.904877,118,64.0,15.0,0.234375
monocot-3D-15-1-1.6-0.001-0.5-4-0-0.9-1.5-15-r3-12.rsml,17660.887,966.0,1404.0,257.31104,10,6999.0,700.17865,10.134154,0.02843389,70,10623.0,152.27287,4.850154,62.2917,150,80.0,18.0,0.225
monocot-3D-15-1-1.6-0.001-0.5-4-0-0.9-1.5-25-r3-12.rsml,18625.621,920.0,1337.0,244.03725,10,6633.0,663.8164,9.758676,0.029978381,74,11950.0,161.99272,4.694254,59.6587,158,84.0,20.0,0.23809524
