image,tot_root_length,width,depth,direction,n_primary,tot_prim_length,mean_prim_length,mean_prim_diameter,mean_lat_density,n_laterals, tot_lat_length,mean_lat_length,mean_lat_diameter,mean_lat_angle,tree_size,tree_magnitude,tree_altitude,tree_index
dicot-2D-10.095-1-1.18-0.01064-0.574-3.908-0.492-1.288-1.506-8.666-9-r103-9.rsml,2952.7559,360.0,993.0,283.11133,1,1062.0,1062.9923,21.327578,0.019498466,9,1888.0,209.97375,9.00606,59.51945,19,10.0,10.0,1.0
dicot-2D-10.131-1-1.073-0.00183-0.599-4.062-0.26-0.978-0.89-26.303-8-r394-8.rsml,1594.4884,130.0,588.0,266.50314,1,649.0,649.6064,13.911346,0.025012307,6,944.0,157.48033,6.873979,18.84101,13,7.0,7.0,1.0
dicot-2D-10.131-1-1.575-0.02944-0.224-3.594-0.854-1.31-1.339-26.054-8-r403-8.rsml,1253.7891,58.0,823.0,310.61395,1,885.0,885.82684,17.781319,0.031410377,4,366.0,91.990585,3.4163141,42.170166,9,5.0,5.0,1.0
dicot-2D-10.158-1-1.667-0.02062-0.298-5.932-0.195-1.68-0.892-17.133-7-r32-7.rsml,944.88196,90.0,879.0,264.41568,1,944.0,944.88196,20.419216,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
dicot-2D-10.174-1-1.531-0.02098-0.418-4.318-0.574-1.561-1.539-20.378-7-r234-7.rsml,1771.6536,230.0,821.0,249.2218,1,885.0,885.8268,22.47566,0.023529414,6,885.0,147.6378,7.463918,68.4253,13,7.0,7.0,1.0
dicot-2D-10.184-1-1.046-0.03004-0.182-5.435-0.976-0.373-1.082-11.915-10-r320-10.rsml,295.27563,7.0,235.0,267.36395,1,295.0,295.27563,4.6069584,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
dicot-2D-10.331-1-1.085-0.00526-0.572-3.4-0.995-1.01-0.807-26.937-8-r202-8.rsml,1948.8187,154.0,647.0,273.59656,1,708.0,708.6614,18.915316,0.028459381,8,1239.0,155.01968,7.146699,31.31678,17,9.0,9.0,1.0
dicot-2D-10.399-1-1.292-0.00816-0.171-3.553-0.295-0.909-1.554-11.956-8-r151-8.rsml,649.6063,25.0,587.0,269.6621,1,649.0,649.6063,10.917214,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
dicot-2D-10.408-1-1.169-0.00231-0.277-3.35-0.736-1.303-1.625-5.115-6-r106-6.rsml,590.5513,68.0,523.0,277.44,1,590.0,590.5513,16.418625,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
dicot-2D-10.497-1-1.069-0.00257-0.284-3.16-0.158-1.312-1.188-23.529-6-r404-6.rsml,590.55115,52.0,526.0,274.6537,1,590.0,590.55115,15.936056,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
dicot-2D-10.514-1-1.696-0.01338-0.479-4.153-0.536-1.673-0.82-22.635-6-r461-6.rsml,1299.2126,114.0,704.0,264.59357,1,767.0,767.7166,23.557058,0.030580312,3,531.0,177.16533,8.877574,25.513323,7,4.0,4.0,1.0
dicot-2D-10.673-1-1.283-0.00404-0.372-4.152-0.378-0.391-1.469-10.362-8-r56-8.rsml,236.22047,22.0,174.0,259.9177,1,236.0,236.22047,4.8476977,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
dicot-2D-10.686-1-1.604-0.01805-0.111-2.199-0.656-1.22-1.283-16.117-8-r311-8.rsml,885.82684,82.0,821.0,264.77728,1,885.0,885.82684,14.887439,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
dicot-2D-10.737-1-1.038-0.02024-0.766-5.693-0.442-0.381-1.256-19.471-7-r356-7.rsml,177.16534,6.0,117.0,271.8054,1,177.0,177.16534,5.025771,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
dicot-2D-10.801-1-1.454-0.01368-0.253-4.503-0.934-1.063-0.897-17.586-5-r307-5.rsml,354.3307,45.0,291.0,279.09024,1,354.0,354.3307,13.040763,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
dicot-2D-10.801-1-1.666-0.01583-0.837-5.141-0.22-1.226-1.261-6.016-5-r53-5.rsml,531.4961,58.0,349.0,233.86523,1,413.0,413.38583,16.050964,0.0,1,118.0,118.11025,11.27011,56.78917,3,2.0,2.0,1.0
dicot-2D-10.813-1-1.531-0.00211-0.675-4.806-0.294-0.274-0.915-8.984-6-r354-6.rsml,118.110245,4.0,58.0,262.4388,1,118.0,118.110245,3.2362201,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
dicot-2D-10.854-1-1.129-0.02082-0.386-4.025-0.853-0.156-1.469-23.586-10-r233-10.rsml,95.46303,0.0,36.0,267.1173,1,95.0,95.46303,2.090251,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
dicot-2D-10.869-1-1.206-0.02021-0.725-4.814-0.934-0.838-0.968-13.404-5-r478-5.rsml,295.27563,47.0,230.0,258.37875,1,295.0,295.27563,11.7097435,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
dicot-2D-10.878-1-1.169-0.02808-0.329-4.884-0.149-0.317-1.48-19.473-7-r437-7.rsml,177.16534,9.0,117.0,275.04498,1,177.0,177.16534,3.7603636,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
dicot-2D-10.923-1-1.62-0.02584-0.621-5.37-0.646-1.629-1.27-9.421-8-r492-8.rsml,4074.803,317.0,1179.0,277.08124,1,1240.0,1240.1576,28.793507,0.015766602,12,2832.0,236.22044,12.3959875,31.392136,25,13.0,13.0,1.0
dicot-2D-10.957-1-1.151-0.02547-0.85-3.319-0.26-0.596-1.233-28.676-8-r97-8.rsml,649.3656,48.0,353.0,292.17236,1,413.0,413.3857,9.067677,0.0255097,2,235.0,117.989944,5.8552384,30.07126,5,3.0,3.0,1.0
dicot-2D-11.047-1-1.602-0.00398-0.237-3.988-0.384-1.072-1.161-5.449-8-r20-8.rsml,1095.4128,66.0,763.0,283.86792,1,826.0,826.7716,13.059831,0.031845532,3,267.0,89.54708,2.9255574,26.43133,7,4.0,4.0,1.0
