image,tot_root_length,width,depth,direction,n_primary,tot_prim_length,mean_prim_length,mean_prim_diameter,mean_lat_density,n_laterals, tot_lat_length,mean_lat_length,mean_lat_diameter,mean_lat_angle,tree_size,tree_magnitude,tree_altitude,tree_index
dicot-shov-10.054-1-1.464-0.0204-0.893-3.924-0.939-0.487-1.279-20.894-8-r199-8.rsml,383.0987,34.0,235.0,297.31186,1,295.0,295.0874,9.194623,0.0,1,88.0,88.01131,5.641872,46.961075,3,2.0,2.0,1.0
dicot-shov-10.107-1-1.602-0.01682-0.525-2.432-0.118-0.112-0.989-14.952-9-r239-9.rsml,81.856384,0.0,35.0,268.2768,1,81.0,81.856384,1.322835,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
dicot-shov-10.109-1-1.464-0.00217-0.535-2.496-0.587-1.32-1.068-18.903-7-r4-7.rsml,1894.3595,157.0,692.0,277.62292,1,757.0,757.8922,22.964144,0.03399349,10,1133.0,113.64671,8.311943,29.010387,21,11.0,11.0,1.0
dicot-shov-10.14-1-1.071-0.00801-0.492-4.461-0.557-0.776-1.416-26.732-10-r234-10.rsml,1237.2751,91.0,645.0,313.12314,1,704.0,704.1871,10.906464,0.023765543,5,531.0,106.61763,4.6766047,57.68392,11,6.0,6.0,1.0
dicot-shov-10.174-1-1.367-0.02934-0.459-3.117-0.934-0.698-1.48-23.838-6-r276-6.rsml,294.3572,8.0,235.0,267.83942,1,294.0,294.3572,9.5115595,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
dicot-shov-10.194-1-1.129-0.0117-0.524-3.768-0.119-0.808-1.081-27.524-8-r259-8.rsml,863.04736,111.0,469.0,242.47008,1,529.0,529.83234,10.229407,0.034034144,3,332.0,111.07166,4.8661857,40.734634,7,4.0,4.0,1.0
dicot-shov-10.302-1-1.327-0.01763-0.449-3.306-0.34-1.699-1.304-21.671-7-r183-7.rsml,2122.051,235.0,940.0,269.3677,1,1000.0,1000.60156,23.831635,0.025783053,8,1117.0,140.18118,8.844608,37.524826,17,9.0,9.0,1.0
dicot-shov-10.413-1-1.044-0.01197-0.87-4.612-0.667-1.248-0.868-19.571-8-r357-8.rsml,2931.7686,227.0,819.0,271.7637,1,882.0,882.1502,28.137238,0.016349599,8,2047.0,256.2023,15.284778,25.983643,17,9.0,9.0,1.0
dicot-shov-10.444-1-1.589-0.01868-0.624-3.301-0.358-1.691-1.357-19.308-10-r463-10.rsml,10040.116,515.0,1586.0,265.98697,1,1649.0,1649.4757,39.384853,0.025728976,30,8377.0,279.688,14.08732,41.17659,61,31.0,31.0,1.0
dicot-shov-10.583-1-1.045-0.0169-0.162-2.461-0.132-0.303-1.055-17.645-9-r169-9.rsml,234.49258,20.0,175.0,277.09564,1,234.0,234.49258,3.5942664,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
dicot-shov-10.595-1-1.019-0.00152-0.726-4.742-0.123-0.4-1.093-13.531-7-r458-7.rsml,235.85455,3.0,176.0,270.3413,1,235.0,235.85455,4.8574295,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
dicot-shov-10.631-1-1.496-0.00404-0.28-4.311-0.686-0.766-1.165-15.264-7-r397-7.rsml,413.18048,22.0,352.0,274.3494,1,413.0,413.18048,9.550539,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
dicot-shov-10.671-1-1.265-0.02796-0.659-2.84-0.818-1.548-1.614-7.4-7-r242-7.rsml,2532.5808,318.0,513.0,285.66238,1,530.0,530.6338,39.497734,0.029861413,14,1997.0,142.9962,12.952634,45.97287,29,15.0,15.0,1.0
dicot-shov-10.729-1-1.595-0.01285-0.728-2.039-0.489-1.17-0.978-16.504-6-r453-6.rsml,1143.6201,123.0,468.0,287.1683,1,530.0,530.604,21.21304,0.041539468,4,610.0,153.25401,10.075363,25.124147,9,5.0,5.0,1.0
dicot-shov-10.736-1-1.162-0.02339-0.57-5.427-0.412-1.013-1.405-27.504-8-r146-8.rsml,1135.6932,96.0,647.0,282.51755,1,708.0,708.162,14.631694,0.019510338,5,424.0,85.50626,6.721546,25.332882,11,6.0,6.0,1.0
dicot-shov-10.746-1-1.403-0.02349-0.893-4.103-0.812-1.037-1.098-11.3-7-r478-7.rsml,1303.7949,265.0,529.0,277.495,1,589.0,589.5743,20.619568,0.030973196,3,712.0,238.07353,11.933562,42.145603,7,4.0,4.0,1.0
dicot-shov-10.969-1-1.425-0.00508-0.331-3.496-0.218-0.945-0.883-16.05-6-r109-6.rsml,471.73978,22.0,410.0,268.4272,1,471.0,471.73978,11.551889,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
dicot-shov-10.994-1-1.62-0.01561-0.101-5.049-0.753-0.138-1.533-8.303-9-r373-9.rsml,91.17724,0.0,32.0,274.9844,1,91.0,91.17724,1.6502031,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
dicot-shov-11.005-1-1.385-0.00118-0.421-4.601-0.876-1.22-1.477-7.042-5-r28-5.rsml,412.8875,6.0,353.0,270.02982,1,412.0,412.8875,16.138689,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
dicot-shov-11.013-1-1.574-0.02599-0.188-2.59-0.879-0.657-1.435-19.927-6-r140-6.rsml,293.8334,11.0,235.0,267.20236,1,293.0,293.8334,8.139097,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
dicot-shov-11.029-1-1.443-0.02262-0.469-2.606-0.753-0.888-1.047-20.299-5-r264-5.rsml,295.11572,21.0,234.0,276.62415,1,295.0,295.11572,11.802163,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
dicot-shov-11.043-1-1.526-0.02184-0.49-5.104-0.337-1.561-1.242-25.365-10-r348-10.rsml,4824.181,292.0,1525.0,266.3851,1,1587.0,1587.0765,23.571918,0.015543001,14,3229.0,231.22176,9.020487,39.15063,29,15.0,15.0,1.0
dicot-shov-11.153-1-1.278-0.00305-0.169-5.887-0.174-1.477-1.036-23.349-10-r386-10.rsml,1936.6545,103.0,1466.0,251.08415,1,1530.0,1530.7266,17.714525,0.009026223,5,404.0,81.185585,2.9101613,37.85033,11,6.0,6.0,1.0
