image,tot_root_length,width,depth,direction,n_primary,tot_prim_length,mean_prim_length,mean_prim_diameter,mean_lat_density,n_laterals, tot_lat_length,mean_lat_length,mean_lat_diameter,mean_lat_angle,tree_size,tree_magnitude,tree_altitude,tree_index
monocot-3D-10.164-1-1.253-0.02368-0.717-4.897-0-0.549-0.942-23.742-9-r6-9.rsml,1800.0548,234.0,352.0,280.19067,6,1433.0,239.28209,6.4842525,0.041557744,4,362.0,91.090576,4.41578,31.62926,14,10.0,6.0,0.6
monocot-3D-10.284-1-1.013-0.00514-0.21-3.21-0-1.39-1.08-11.79-9-r296-9.rsml,5436.9507,445.0,1059.0,266.71146,7,4303.0,615.05066,16.417322,0.023098046,14,1124.0,80.828255,3.3516839,39.835518,35,21.0,9.0,0.42857143
monocot-3D-10.299-1-1.59-0.01019-0.487-4.836-0-0.852-1.525-20.643-7-r188-7.rsml,1247.8467,341.0,410.0,272.5994,4,1184.0,296.56055,10.062989,0.0,1,61.0,61.60443,4.564147,69.38,6,5.0,4.0,0.8
monocot-3D-10.328-1-1.362-0.0033-0.811-3.591-0-0.209-1.646-14.295-8-r222-8.rsml,260.12558,22.0,47.0,311.2011,3,259.0,86.70853,2.468504,0.0,0,0.0,0.0,0.0,0.0,3,3.0,3.0,1.0
monocot-3D-10.352-1-1.195-0.02601-0.602-4.549-0-1.647-1.494-27.157-8-r348-8.rsml,7485.5186,376.0,1114.0,281.24765,6,3873.0,645.8515,19.452757,0.023493538,18,3602.0,200.57834,11.18139,50.334084,42,24.0,11.0,0.45833334
monocot-3D-10.374-1-1.349-0.00905-0.723-3.668-0-0.521-1.166-6.961-9-r433-9.rsml,1594.4707,326.0,349.0,289.42233,6,1389.0,232.148,6.1535444,0.0,3,200.0,67.19428,4.320723,58.934925,12,9.0,6.0,0.6666667
monocot-3D-10.424-1-1.394-0.01877-0.674-5.521-0-1.577-1.024-25.217-9-r320-9.rsml,14156.598,659.0,1235.0,266.61362,7,5100.0,729.0534,18.625978,0.017857641,39,9034.0,232.13387,11.868952,31.199816,85,46.0,15.0,0.32608697
monocot-3D-10.536-1-1.665-0.0174-0.833-2.668-0-0.459-1.501-14.822-6-r341-6.rsml,282.08032,55.0,117.0,303.0245,2,281.0,141.04016,5.4212604,0.0,0,0.0,0.0,0.0,0.0,2,2.0,2.0,1.0
monocot-3D-10.552-1-1.589-0.026-0.149-4.337-0-0.99-0.82-12.706-6-r233-6.rsml,1054.4012,303.0,411.0,268.98996,4,1053.0,263.6003,11.692914,0.0,0,0.0,0.0,0.0,0.0,4,4.0,4.0,1.0
monocot-3D-10.629-1-1.177-0.03067-0.36-3.054-0-0.634-1.64-16.172-10-r479-10.rsml,2530.817,355.0,527.0,246.4432,7,2380.0,340.4734,7.488189,0.0,3,146.0,49.167683,2.5864012,50.78142,13,10.0,7.0,0.7
monocot-3D-10.632-1-1.31-0.02842-0.771-4.666-0-0.421-1.253-15.649-5-r223-5.rsml,117.89104,2.0,58.0,266.46793,1,117.0,117.89104,4.972441,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
monocot-3D-10.703-1-1.54-0.00222-0.213-3.081-0-0.728-1.436-5.156-8-r412-8.rsml,1358.6467,321.0,468.0,271.32758,5,1356.0,271.72934,8.598423,0.0,0,0.0,0.0,0.0,0.0,5,5.0,5.0,1.0
monocot-3D-10.718-1-1.274-0.01584-0.741-4.811-0-1.025-1.338-16.947-10-r291-10.rsml,9227.088,561.0,936.0,264.92615,8,4233.0,529.61365,12.106309,0.022579152,25,4978.0,199.60722,8.63282,43.511974,58,33.0,9.0,0.27272728
