image,tot_root_length,width,depth,direction,n_primary,tot_prim_length,mean_prim_length,mean_prim_diameter,mean_lat_density,n_laterals, tot_lat_length,mean_lat_length,mean_lat_diameter,mean_lat_angle,tree_size,tree_magnitude,tree_altitude,tree_index
monocot-shov-10.014-1-1.214-0.02674-0.121-4.801-0-0.209-1.15-9.195-9-r116-9.rsml,289.40668,62.0,46.0,267.08,3,287.0,96.468895,2.468504,0.0,0,0.0,0.0,0.0,0.0,3,3.0,3.0,1.0
monocot-shov-10.021-1-1.174-0.00382-0.2-3.651-0-1-1.085-10.593-8-r338-8.rsml,1702.4944,294.0,470.0,267.3293,5,1700.0,340.49887,11.811027,0.0,0,0.0,0.0,0.0,0.0,5,5.0,5.0,1.0
monocot-shov-10.043-1-1.367-0.01791-0.429-3.722-0-1.487-0.903-16.744-10-r480-10.rsml,11484.057,571.0,1292.0,265.98917,8,5764.0,721.0118,17.56299,0.027377805,39,5697.0,146.56303,7.1818333,25.003931,86,47.0,15.0,0.31914893
monocot-shov-10.109-1-1.502-0.02423-0.695-2.29-0-1.071-1.566-26.304-8-r228-8.rsml,5255.286,369.0,646.0,272.34998,6,2247.0,374.67105,12.649602,0.037947312,21,2996.0,143.20285,8.319455,55.893475,48,27.0,13.0,0.4814815
monocot-shov-10.129-1-1.546-0.02636-0.737-3.236-0-0.842-1.187-27.475-9-r273-9.rsml,4790.7163,349.0,587.0,273.1772,6,2162.0,360.765,9.944884,0.043219566,19,2616.0,138.21715,6.9064255,39.616936,44,25.0,10.0,0.4
monocot-shov-10.129-1-1.607-0.01126-0.797-4.684-0-1.338-0.965-7.677-7-r40-7.rsml,3736.7854,442.0,705.0,261.15677,5,2054.0,411.4532,15.803156,0.025015479,10,1674.0,167.95193,11.777597,31.675726,25,15.0,7.0,0.46666667
monocot-shov-10.225-1-1.418-0.02884-0.105-4.829-0-0.56-1.163-27.718-9-r147-9.rsml,1382.8809,208.0,351.0,254.94301,6,1380.0,230.48015,6.6141706,0.0,0,0.0,0.0,0.0,0.0,6,6.0,6.0,1.0
monocot-shov-10.29-1-1.282-0.00522-0.625-4.022-0-1.506-1.276-23.446-7-r471-7.rsml,4152.211,552.0,821.0,276.7537,5,2577.0,516.0349,17.787409,0.028622946,10,1567.0,157.20366,10.39415,45.841446,25,15.0,8.0,0.53333336
monocot-shov-10.397-1-1.403-0.02476-0.715-5.866-0-1.447-1.224-23.022-9-r306-9.rsml,9953.3545,410.0,1120.0,272.34787,7,4360.0,623.32086,17.090567,0.016777782,27,5578.0,207.04105,11.461922,32.91571,61,34.0,11.0,0.32352942
monocot-shov-10.665-1-1.533-0.02974-0.74-5.886-0-1.018-1.557-14.535-6-r206-6.rsml,1173.7603,180.0,409.0,286.5892,4,1070.0,267.9978,12.023622,0.0,1,101.0,101.76901,8.301802,65.76915,6,5.0,4.0,0.8
monocot-shov-10.701-1-1.208-0.01481-0.585-3.413-0-0.498-1.655-24.557-8-r201-8.rsml,1320.7706,151.0,294.0,256.06216,5,1085.0,217.56189,5.881891,0.049822595,3,232.0,77.653725,3.317977,71.00482,11,8.0,5.0,0.625
monocot-shov-10.729-1-1.121-0.02796-0.138-3.035-0-0.688-0.96-14.838-9-r255-9.rsml,1935.193,174.0,530.0,260.8773,6,1932.0,322.53217,8.125979,0.0,0,0.0,0.0,0.0,0.0,6,6.0,6.0,1.0
