image,diam_max,diam_mean,diam_mode,length,area,width,depth,width_depth_ratio,com_x,com_y,ellips_025,ellips_050,ellips_075,ellips_100,rect_020,rect_040,rect_060,rect_080,directionality,tip_count,cross_hori_0_mean,cross_hori_0_max,cross_hori_1_mean,cross_hori_1_max,cross_hori_2_mean,cross_hori_2_max,cross_hori_3_mean,cross_hori_3_max,cross_vert_mean,cross_vert_max,coord_x0,coord_x1,coord_x2,coord_x3,coord_x4,coord_x5,coord_x6,coord_x7,coord_x8,coord_x9,coord_x10,coord_x11,coord_x12,coord_x13,coord_x14,coord_x15,coord_x16,coord_x17,coord_x18,coord_x19,diff_x0,diff_x1,diff_x2,diff_x3,diff_x4,diff_x5,diff_x6,diff_x7,diff_x8,diff_x9,cumul_x0,cumul_x1,cumul_x2,cumul_x3,cumul_x4,cumul_x5,cumul_x6,cumul_x7,cumul_x8,cumul_x9
/Users/guillaumelobet/Desktop/Work/archisimple/outputs/images/monocot-3D-15-1-1.6-0.001-0.5-4-0-0.4-0.5-15-r3-12.rsml.jpg,4.233333,1.0648847,0.84666663,655082.94,11583.246,550.3333,549.48663,1.0015408,0.5038964,0.30110112,0.25517142,0.26840144,0.25853375,0.18280828,0.48519844,0.12981507,0.08537388,0.0456107,15.590638,22.0,63953.086,65000.0,64364.2,64700.0,64770.37,64900.0,64900.0,64900.0,64387.69,64900.0,0.2753846,0.21692307,0.06,0.4553846,0.40923077,0.43846154,0.47076923,0.48,0.4923077,0.5123077,0.52,0.49846154,0.48615384,0.47692308,0.46923077,0.47846153,0.9646154,0.86923075,0.76461536,0.7630769,0.4876923,0.5476923,0.80923074,0.5092308,0.06923077,0.03076923,0.006153846,0.006153846,0.006153846,0.0076923077,0.4876923,1.0353847,1.8446155,2.3538463,2.423077,2.4538465,2.4600003,2.466154,2.472308,2.4800003
/Users/guillaumelobet/Desktop/Work/archisimple/outputs/images/monocot-3D-15-1-1.6-0.001-0.5-4-0-0.4-0.5-25-r3-12.rsml.jpg,5.08,1.0729104,0.84666663,701934.06,11395.286,633.30664,487.68,1.2986112,0.4210274,0.32148325,0.22393937,0.3483914,0.26168364,0.11382718,0.4840627,0.15209153,0.08217549,0.052901406,34.18817,23.0,73715.28,74800.0,73976.39,74300.0,74559.72,74700.0,74670.836,74700.0,57171.39,57600.0,0.1724599,0.14037433,0.073529415,0.0,0.32352942,0.30882353,0.29010695,0.27005348,0.2446524,0.22459893,0.23128343,0.2513369,0.27540106,0.315508,0.3435829,0.4318182,0.9291444,0.8088235,0.65641713,0.6898396,0.5173797,0.51604277,0.7352941,0.9291444,0.10828877,0.034759358,0.025401069,0.0053475937,0.006684492,0.006684492,0.5173797,1.0334225,1.7687166,2.697861,2.8061497,2.840909,2.8663101,2.8716576,2.8783422,2.8850267
/Users/guillaumelobet/Desktop/Work/archisimple/outputs/images/monocot-3D-15-1-1.6-0.001-0.5-4-0-0.4-0.5-35-r3-12.rsml.jpg,5.08,1.0978823,0.84666663,590734.56,11908.366,488.52664,550.3333,0.88769233,0.5107124,0.3311265,0.23512265,0.29114825,0.20739424,0.16587274,0.41173124,0.15236403,0.104799144,0.040597226,11.815872,20.0,56897.53,57700.0,56854.32,57200.0,57397.53,57600.0,57600.0,57600.0,64419.03,65000.0,0.32409012,0.26516464,0.13691507,0.048526864,0.0797227,0.03119584,0.5164645,0.5233969,0.5303293,0.5372617,0.5441941,0.5372617,0.5303293,0.5233969,0.6031196,0.58232236,0.6221837,0.81975734,0.8665511,0.8006932,0.47660312,0.6013865,0.6828423,0.57365686,0.50259966,0.57192373,0.006932409,0.006932409,0.006932409,0.006932409,0.47660312,1.0779896,1.7608318,2.3344886,2.8370883,3.409012,3.4159446,3.422877,3.4298096,3.436742
/Users/guillaumelobet/Desktop/Work/archisimple/outputs/images/monocot-3D-15-1-1.6-0.001-0.5-4-0-0.4-0.5-5-r3-12.rsml.jpg,5.08,1.1157404,0.84666663,695406.25,8231.293,618.9133,501.22665,1.2347972,0.470089,0.31800872,0.3009669,0.24624562,0.1739354,0.22958238,0.49660563,0.12826578,0.049372558,0.049783994,21.602009,8.0,72485.13,73100.0,72598.65,72900.0,73000.0,73000.0,73000.0,73000.0,58941.805,59200.0,0.20656635,0.16963065,0.05745554,0.1627907,0.40218878,0.40218878,0.3994528,0.39398086,0.39261284,0.39261284,0.39808482,0.39808482,0.3994528,0.40492475,0.40766075,0.40766075,0.9302326,0.8331053,0.6785226,0.6114911,0.40492475,0.50889194,0.7756498,0.76744187,0.0054719565,0.0054719565,0.0054719565,0.0054719565,0.0054719565,0.0054719565,0.40492475,0.9138167,1.6894665,2.4569082,2.4623802,2.467852,2.473324,2.478796,2.484268,2.48974
/Users/guillaumelobet/Desktop/Work/archisimple/outputs/images/monocot-3D-15-1-1.6-0.001-0.5-4-0-0.4-1-15-r3-12.rsml.jpg,5.08,1.1589125,0.84666663,478483.5,8949.267,406.4,490.22,0.82901555,0.6117112,0.34140405,0.21352886,0.29583728,0.20889309,0.12771997,0.48117313,0.11911069,0.0358562,0.007473983,26.89732,19.0,47306.945,48000.0,47440.277,47600.0,47751.39,47900.0,47900.0,47900.0,57415.418,57900.0,0.46458334,0.39583334,0.22291666,0.083333336,0.25833333,0.83958334,0.87291664,0.90416664,0.93958336,0.97291666,0.98333335,0.9479167,0.9145833,0.8833333,0.8541667,0.82708335,0.8020833,0.77916664,0.7708333,0.7625,0.29791668,0.375,0.55625,0.71875,0.56875,0.014583333,0.010416667,0.010416667,0.008333334,0.010416667,0.29791668,0.67291665,1.2291666,1.9479166,2.5166667,2.53125,2.5416667,2.5520835,2.560417,2.5708337
/Users/guillaumelobet/Desktop/Work/archisimple/outputs/images/monocot-3D-15-1-1.6-0.001-0.5-4-0-0.4-1-25-r3-12.rsml.jpg,5.9266667,1.0873448,0.84666663,717028.44,11106.573,625.68665,496.14667,1.2610922,0.52680653,0.32342955,0.3126239,0.29638666,0.20216496,0.16077146,0.48269552,0.1664888,0.06982772,0.037353255,30.479013,21.0,72946.58,73900.0,72998.63,73300.0,73675.34,73800.0,73800.0,73800.0,58170.27,58600.0,0.34100136,0.30311233,0.21380244,0.113667116,0.03518268,0.6075778,0.6156969,0.6292287,0.64546686,0.66305816,0.6684709,0.65223277,0.6359946,0.6211096,0.64682,0.9918809,0.9418133,0.8700947,0.7780785,0.744249,0.40324762,0.47496617,0.65629226,0.82814616,0.95669824,0.03924222,0.0054127197,0.0067658997,0.0067658997,0.0054127197,0.40324762,0.87821376,1.5345061,2.3626523,3.3193505,3.3585927,3.3640056,3.3707714,3.3775373,3.38295
/Users/guillaumelobet/Desktop/Work/archisimple/outputs/images/monocot-3D-15-1-1.6-0.001-0.5-4-0-0.4-1-35-r3-12.rsml.jpg,4.233333,1.0772176,0.84666663,599617.8,10535.073,474.97998,552.0267,0.86042947,0.5756704,0.3060754,0.1878968,0.2869083,0.24801093,0.20871173,0.45632082,0.08639396,0.059310455,0.04235313,21.068657,21.0,55128.047,56100.0,55559.758,55800.0,55946.34,56000.0,56000.0,56000.0,64710.676,65200.0,0.18181819,0.2691622,0.14973262,0.07486631,0.014260249,0.49019608,0.55258465,0.54901963,0.54010695,0.52762926,0.53475934,0.54901963,0.5561497,0.5597148,0.55793226,0.98930484,0.9251337,0.8413547,0.84670234,0.7789661,0.59714794,0.5775401,0.6916221,0.85026735,0.97504455,0.067736186,0.0071301246,0.0071301246,0.0089126555,0.0071301246,0.59714794,1.1746881,1.8663101,2.7165775,3.691622,3.7593582,3.7664883,3.7736185,3.782531,3.7896612
/Users/guillaumelobet/Desktop/Work/archisimple/outputs/images/monocot-3D-15-1-1.6-0.001-0.5-4-0-0.4-1-5-r3-12.rsml.jpg,5.08,1.10795,0.84666663,578459.56,9723.967,469.0533,548.64,0.85493827,0.45708206,0.31722343,0.22228995,0.31040487,0.2060949,0.11449717,0.4734001,0.14636482,0.08689595,0.045973007,14.931857,15.0,54623.457,55400.0,54909.875,55100.0,55235.8,55300.0,55300.0,55300.0,64331.77,64800.0,0.05956679,0.0054151625,0.24909747,0.1768953,0.23104693,0.22924188,0.23465703,0.24187726,0.24909747,0.25451264,0.26173285,0.25631768,0.25090253,0.24187726,0.4765343,0.97472924,0.8898917,0.77075815,0.6696751,0.5956679,0.5361011,0.6642599,0.5216606,0.71299636,0.7436823,0.24729241,0.0072202166,0.009025271,0.0072202166,0.0072202166,0.5361011,1.200361,1.7220216,2.435018,3.1787004,3.425993,3.4332132,3.4422386,3.4494588,3.456679
/Users/guillaumelobet/Desktop/Work/archisimple/outputs/images/monocot-3D-15-1-1.6-0.001-0.5-4-0-0.4-1.5-15-r3-12.rsml.jpg,5.08,1.1244684,0.84666663,648888.7,9469.12,574.88666,496.99332,1.1567291,0.47501087,0.31096855,0.30489987,0.28218883,0.21155222,0.13403076,0.5232475,0.11409156,0.09799714,0.04354435,24.137884,18.0,66934.25,67900.0,67378.086,67800.0,67702.74,67800.0,67800.0,67800.0,58325.293,58700.0,0.23269513,0.19440353,0.07805596,0.15758468,0.44182622,0.4226804,0.45508102,0.46686304,0.48011783,0.50073636,0.50810015,0.48600882,0.47275406,0.460972,0.45360824,0.44919,0.46833578,0.93519884,0.7938144,0.736377,0.5036819,0.5994109,0.85714287,0.3107511,0.00736377,0.030927835,0.005891016,0.005891016,0.005891016,0.00736377,0.5036819,1.1030928,1.9602356,2.2709868,2.2783506,2.3092785,2.3151696,2.3210607,2.3269517,2.3343155
/Users/guillaumelobet/Desktop/Work/archisimple/outputs/images/monocot-3D-15-1-1.6-0.001-0.5-4-0-0.4-1.5-25-r3-12.rsml.jpg,5.08,1.1052717,0.84666663,664331.06,11551.92,546.94666,553.72,0.9877676,0.4645423,0.30818018,0.27015537,0.34117562,0.17634125,0.16490765,0.5101143,0.14277337,0.09857813,0.038771622,19.20787,24.0,63646.34,64600.0,64009.758,64300.0,64364.633,64500.0,64500.0,64500.0,64926.934,65400.0,0.2012384,0.13312693,0.007739938,0.18111455,0.41795665,0.4117647,0.4133127,0.41795665,0.42414862,0.4380805,0.44427246,0.43188855,0.42414862,0.41950464,0.6037152,0.9597523,0.8978328,0.8003096,0.67801857,0.61455107,0.4133127,0.54489166,0.79256964,0.71671826,0.5417957,0.19195047,0.0061919503,0.0061919503,0.007739938,0.0061919503,0.4133127,0.9582044,1.750774,2.4674923,3.009288,3.2012386,3.2074306,3.2136226,3.2213626,3.2275546
