image,diam_max,diam_mean,diam_mode,length,area,width,depth,width_depth_ratio,com_x,com_y,ellips_025,ellips_050,ellips_075,ellips_100,rect_020,rect_040,rect_060,rect_080,directionality,tip_count,cross_hori_0_mean,cross_hori_0_max,cross_hori_1_mean,cross_hori_1_max,cross_hori_2_mean,cross_hori_2_max,cross_hori_3_mean,cross_hori_3_max,cross_vert_mean,cross_vert_max,coord_x0,coord_x1,coord_x2,coord_x3,coord_x4,coord_x5,coord_x6,coord_x7,coord_x8,coord_x9,coord_x10,coord_x11,coord_x12,coord_x13,coord_x14,coord_x15,coord_x16,coord_x17,coord_x18,coord_x19,diff_x0,diff_x1,diff_x2,diff_x3,diff_x4,diff_x5,diff_x6,diff_x7,diff_x8,diff_x9,cumul_x0,cumul_x1,cumul_x2,cumul_x3,cumul_x4,cumul_x5,cumul_x6,cumul_x7,cumul_x8,cumul_x9
/Users/guillaumelobet/Desktop/Work/archisimple/outputs/dicot/2D/images/dicot-2D-10.095-1-1.18-0.01064-0.574-3.908-0.492-1.288-1.506-8.666-9-r103-9.rsml.jpg,12.7,3.713214,0.84666663,609515.3,31880.387,373.37997,908.4733,0.4109972,0.45734736,0.42786214,0.20810539,0.32426834,0.24324109,0.15913317,0.2117969,0.2375312,0.1964997,0.10689435,25.643404,11.0,43869.402,44100.0,43648.508,43900.0,43938.06,44000.0,44000.0,44000.0,106718.555,107300.0,0.42630386,0.40589568,0.36507937,0.3605442,0.09750567,0.32426304,0.26530612,0.21995465,0.17913832,0.14965986,0.18367347,0.2154195,0.2585034,0.31292516,0.37188208,0.5260771,0.85714287,0.9410431,0.75283444,0.48752835,0.06122449,0.3469388,0.57596374,0.49659863,0.42857143,0.04761905,0.04761905,0.038548753,0.03628118,0.034013607,0.06122449,0.40816328,0.98412704,1.4807256,1.9092971,1.9569162,2.0045352,2.043084,2.079365,2.1133785
/Users/guillaumelobet/Desktop/Work/archisimple/outputs/dicot/2D/images/dicot-2D-10.131-1-1.073-0.00183-0.599-4.062-0.26-0.978-0.89-26.303-8-r394-8.rsml.jpg,9.3133335,2.7244663,0.84666663,225890.66,11473.18,165.09999,558.8,0.29545453,0.70766,0.49665457,0.19356506,0.3558409,0.24072024,0.16079994,0.18913734,0.23813741,0.24507417,0.12611616,4.762929,7.0,19398.795,19500.0,19220.482,19300.0,19293.977,19400.0,19400.0,19400.0,65415.305,66000.0,0.5794872,0.53846157,0.31282052,0.092307694,0.45641026,0.51282054,0.6512821,0.7076923,0.72820514,0.7794872,0.84102565,0.7846154,0.7641026,0.71794873,0.6666667,0.85128206,0.6615385,0.6512821,0.64615387,0.6666667,0.08717949,0.10769231,0.33846155,0.5692308,0.3948718,0.15384616,0.06666667,0.056410257,0.056410257,0.06153846,0.08717949,0.1948718,0.53333336,1.1025641,1.4974359,1.6512821,1.7179488,1.7743591,1.8307694,1.8923079
/Users/guillaumelobet/Desktop/Work/archisimple/outputs/dicot/2D/images/dicot-2D-10.131-1-1.575-0.02944-0.224-3.594-0.854-1.31-1.339-26.054-8-r403-8.rsml.jpg,8.466666,3.723616,0.84666663,186613.8,14049.586,99.06,761.1533,0.13014461,0.7606786,0.50555044,0.015005424,0.36712065,0.27618417,0.23689285,0.114077374,0.22550319,0.19037001,0.17512354,1.4732587,5.0,11591.071,11700.0,11566.964,11600.0,11600.0,11600.0,11600.0,11600.0,89122.03,89900.0,0.034188036,0.08547009,0.17094018,0.2905983,0.3931624,0.45299146,0.44444445,0.46153846,0.46153846,0.4871795,0.62393165,0.5897436,0.5982906,0.5811966,0.5982906,0.5470086,0.8974359,0.61538464,0.25641027,0.20512821,0.17094018,0.17094018,0.44444445,0.60683763,0.15384616,0.14529915,0.13675214,0.13675214,0.12820514,0.13675214,0.17094018,0.34188035,0.7863248,1.3931625,1.5470086,1.6923078,1.82906,1.9658121,2.0940173,2.2307694
/Users/guillaumelobet/Desktop/Work/archisimple/outputs/dicot/2D/images/dicot-2D-10.158-1-1.667-0.02062-0.298-5.932-0.195-1.68-0.892-17.133-7-r32-7.rsml.jpg,9.3133335,4.3777575,0.84666663,233578.39,16438.033,95.67333,811.1066,0.11795407,0.8251623,0.5318459,0.0,0.2368272,0.2533093,0.21967551,0.0,0.14684522,0.20375998,0.15009014,4.829554,2.0,11300.0,11300.0,11235.833,11300.0,11200.0,11200.0,11200.0,11200.0,95254.38,95800.0,0.8053097,0.7876106,0.6902655,0.5132743,0.3539823,0.24778761,0.19469027,0.14159292,0.044247787,0.0,0.17699115,0.22123894,0.31858408,0.36283186,0.43362832,0.539823,0.69911504,0.8761062,0.9734513,0.99115044,0.18584071,0.18584071,0.18584071,0.18584071,0.18584071,0.18584071,0.16814159,0.17699115,0.17699115,0.17699115,0.18584071,0.37168142,0.5575221,0.74336284,0.92920357,1.1150442,1.2831858,1.460177,1.637168,1.8141592
/Users/guillaumelobet/Desktop/Work/archisimple/outputs/dicot/2D/images/dicot-2D-10.174-1-1.531-0.02098-0.418-4.318-0.574-1.561-1.539-20.378-7-r234-7.rsml.jpg,11.853333,4.159816,0.84666663,389204.2,21773.727,279.4,762.0,0.36666667,0.4377221,0.4511616,0.16417156,0.3710775,0.23241435,0.17778124,0.24081346,0.25181785,0.1513007,0.1395575,26.284687,8.0,32730.973,33000.0,32721.238,32900.0,32900.0,32900.0,32900.0,32900.0,89524.39,90000.0,0.47272727,0.46666667,0.060606062,0.27272728,0.43333334,0.4181818,0.38484848,0.33333334,0.28181818,0.22121212,0.27878788,0.34242424,0.3909091,0.44848484,0.47878787,0.5030303,0.5242424,0.53939396,0.8757576,0.55454546,0.08181818,0.4090909,0.47878787,0.25151515,0.06969697,0.060606062,0.06363636,0.05757576,0.060606062,0.05757576,0.08181818,0.4909091,0.969697,1.2212121,1.2909092,1.3515153,1.4151516,1.4727273,1.5333333,1.590909
/Users/guillaumelobet/Desktop/Work/archisimple/outputs/dicot/2D/images/dicot-2D-10.184-1-1.046-0.03004-0.182-5.435-0.976-0.373-1.082-11.915-10-r320-10.rsml.jpg,1.6933333,1.103707,0.84666663,73199.414,1025.3134,15.24,252.30666,0.060402684,2.8611112,0.6620811,0.057803467,0.29397193,0.32039636,0.1668043,0.119735755,0.19983485,0.1849711,0.19075145,1.2627769,2.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,29800.0,29800.0,0.5555556,0.6111111,0.5,0.5,0.5,0.6111111,0.5555556,0.3888889,0.16666667,0.0,0.22222222,0.3888889,0.6111111,0.7777778,0.8333333,0.7222222,0.7222222,0.7222222,0.8333333,0.7777778,0.22222222,0.22222222,0.22222222,0.22222222,0.22222222,0.22222222,0.22222222,0.22222222,0.22222222,0.22222222,0.22222222,0.44444445,0.6666667,0.8888889,1.1111112,1.3333334,1.5555556,1.7777778,2.0,2.2222223
/Users/guillaumelobet/Desktop/Work/archisimple/outputs/dicot/2D/images/dicot-2D-10.331-1-1.085-0.00526-0.572-3.4-0.995-1.01-0.807-26.937-8-r202-8.rsml.jpg,12.7,3.458834,0.84666663,262150.0,16969.74,191.34666,612.98663,0.3121547,0.57104695,0.44779736,0.23943521,0.34710371,0.27086765,0.13595769,0.226513,0.2648805,0.20969915,0.098538145,7.281389,9.0,22459.34,22600.0,22176.924,22400.0,22383.516,22500.0,22500.0,22500.0,71638.94,72400.0,0.4778761,0.460177,0.32743362,0.2079646,0.07079646,0.45575222,0.460177,0.50884956,0.5663717,0.6106195,0.6637168,0.61946905,0.5619469,0.5265487,0.7477876,0.99557525,0.79646015,0.8362832,0.59292036,0.59292036,0.11504425,0.13274336,0.50884956,0.58849555,0.92477876,0.2920354,0.06637168,0.053097345,0.053097345,0.053097345,0.11504425,0.24778761,0.75663716,1.3451327,2.2699115,2.5619469,2.6283185,2.6814158,2.734513,2.7876103
/Users/guillaumelobet/Desktop/Work/archisimple/outputs/dicot/2D/images/dicot-2D-10.399-1-1.292-0.00816-0.171-3.553-0.295-0.909-1.554-11.956-8-r151-8.rsml.jpg,5.08,2.4050686,0.84666663,122766.664,5900.42,33.866665,555.4133,0.06097561,1.5862229,0.55743015,0.12756494,0.1708997,0.25541684,0.329746,0.18309657,0.15669394,0.043334767,0.14047927,0.8696821,2.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,65600.0,65600.0,0.2,0.275,0.425,0.575,0.675,0.725,0.6,0.35,0.175,0.0,0.25,0.425,0.625,0.875,0.975,0.925,0.85,0.725,0.55,0.5,0.3,0.275,0.3,0.275,0.25,0.25,0.275,0.275,0.25,0.25,0.3,0.57500005,0.87500006,1.1500001,1.4000001,1.6500001,1.9250001,2.2,2.45,2.7
/Users/guillaumelobet/Desktop/Work/archisimple/outputs/dicot/2D/images/dicot-2D-10.408-1-1.169-0.00231-0.277-3.35-0.736-1.303-1.625-5.115-6-r106-6.rsml.jpg,7.62,3.4845264,0.84666663,155895.03,8232.14,86.36,504.6133,0.17114094,0.7680036,0.5621134,0.0,0.019438446,0.50642806,0.25136274,0.059343822,0.024066646,0.1757688,0.16733518,0.18043244,2.0,10134.667,10200.0,10100.0,10100.0,10100.0,10100.0,10188.0,10200.0,59231.37,59600.0,0.05882353,0.029411765,0.009803922,0.029411765,0.11764706,0.2647059,0.46078432,0.5882353,0.6862745,0.85294116,1.0,0.84313726,0.74509805,0.61764705,0.43137255,0.28431374,0.19607843,0.16666667,0.20588236,0.2254902,0.16666667,0.1764706,0.15686275,0.16666667,0.16666667,0.16666667,0.15686275,0.15686275,0.15686275,0.14705883,0.16666667,0.34313726,0.5,0.6666667,0.8333334,1.0,1.1568627,1.3137255,1.4705882,1.617647
/Users/guillaumelobet/Desktop/Work/archisimple/outputs/dicot/2D/images/dicot-2D-10.497-1-1.069-0.00257-0.284-3.16-0.158-1.312-1.188-23.529-6-r404-6.rsml.jpg,6.773333,3.4399927,0.84666663,141433.97,8050.1064,60.11333,509.69333,0.1179402,1.075816,0.5606132,0.0,0.19699201,0.28113168,0.2023559,0.040492218,0.11895246,0.19888514,0.06257888,0.08245225,2.0,7033.3335,7100.0,7000.0,7000.0,7089.3335,7100.0,7100.0,7100.0,59808.332,60200.0,0.028169014,0.0,0.028169014,0.14084508,0.29577464,0.4225352,0.6197183,0.74647886,0.7605634,0.7746479,1.0,0.97183096,0.9577465,0.85915494,0.64788735,0.5070422,0.3802817,0.26760563,0.22535211,0.26760563,0.23943663,0.22535211,0.23943663,0.23943663,0.2112676,0.22535211,0.23943663,0.2112676,0.2112676,0.22535211,0.23943663,0.46478873,0.70422536,0.943662,1.1549296,1.3802817,1.6197183,1.8309859,2.0422535,2.2676055
