image,diam_max,diam_mean,diam_mode,length,area,width,depth,width_depth_ratio,com_x,com_y,ellips_025,ellips_050,ellips_075,ellips_100,rect_020,rect_040,rect_060,rect_080,directionality,tip_count,cross_hori_0_mean,cross_hori_0_max,cross_hori_1_mean,cross_hori_1_max,cross_hori_2_mean,cross_hori_2_max,cross_hori_3_mean,cross_hori_3_max,cross_vert_mean,cross_vert_max,coord_x0,coord_x1,coord_x2,coord_x3,coord_x4,coord_x5,coord_x6,coord_x7,coord_x8,coord_x9,coord_x10,coord_x11,coord_x12,coord_x13,coord_x14,coord_x15,coord_x16,coord_x17,coord_x18,coord_x19,diff_x0,diff_x1,diff_x2,diff_x3,diff_x4,diff_x5,diff_x6,diff_x7,diff_x8,diff_x9,cumul_x0,cumul_x1,cumul_x2,cumul_x3,cumul_x4,cumul_x5,cumul_x6,cumul_x7,cumul_x8,cumul_x9
/Users/guillaumelobet/Desktop/Work/archisimple/outputs/dicot/shov/images/dicot-shov-10.054-1-1.464-0.0204-0.893-3.924-0.939-0.487-1.279-20.894-8-r199-8.rsml.jpg,5.08,1.8755536,0.84666663,91556.836,2374.9,66.04,255.69333,0.25827813,0.78970927,0.54250276,0.076292336,0.43707666,0.24171123,0.16363636,0.26381463,0.24777183,0.18039216,0.11622103,1.9929247,3.0,7765.7896,7800.0,7660.5264,7700.0,7700.0,7700.0,7700.0,7700.0,29812.82,30200.0,0.012820513,0.025641026,0.012820513,0.051282052,0.08974359,0.12820514,0.1923077,0.24358974,0.26923078,0.2948718,0.37179488,0.34615386,0.30769232,0.26923078,0.24358974,0.20512821,0.96153843,0.525641,0.16666667,0.16666667,0.15384616,0.14102565,0.51282054,0.9102564,0.115384616,0.115384616,0.07692308,0.06410257,0.07692308,0.07692308,0.15384616,0.2948718,0.80769235,1.7179487,1.8333333,1.9487178,2.025641,2.0897436,2.1666667,2.2435899
/Users/guillaumelobet/Desktop/Work/archisimple/outputs/dicot/shov/images/dicot-shov-10.107-1-1.602-0.01682-0.525-2.432-0.118-0.112-0.989-14.952-9-r239-9.rsml.jpg,0.84666663,0.84666663,0.84666663,51392.664,70.27333,3.3866665,70.27333,0.04819277,12.534638,1.1024096,0.0,0.25301206,0.28915662,0.14457831,0.0,0.18072289,0.20481928,0.20481928,0.38240215,2.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,8300.0,8300.0,0.25,0.75,0.5,0.5,0.5,0.25,0.25,0.25,0.0,0.0,0.25,0.25,0.5,0.5,0.75,0.75,0.75,0.75,1.0,0.5,0.25,0.25,0.25,0.25,0.25,0.5,0.25,0.25,0.25,0.25,0.25,0.5,0.75,1.0,1.25,1.75,2.0,2.25,2.5,2.75
/Users/guillaumelobet/Desktop/Work/archisimple/outputs/dicot/shov/images/dicot-shov-10.109-1-1.464-0.00217-0.535-2.496-0.587-1.32-1.068-18.903-7-r4-7.rsml.jpg,14.3933325,4.4222426,0.84666663,275255.56,19204.094,209.97333,657.0133,0.31958762,0.6233047,0.4319929,0.20046733,0.37999293,0.2310202,0.15126532,0.2462305,0.28582135,0.1886518,0.114275634,8.742934,10.0,24622.68,24800.0,24491.752,24600.0,24676.29,24700.0,24700.0,24700.0,77065.32,77600.0,0.40725806,0.28629032,0.45967743,0.35887095,0.375,0.6532258,0.62903225,0.58870965,0.58064514,0.5846774,0.6451613,0.641129,0.6532258,0.7016129,0.7298387,0.7177419,0.73790324,0.7741935,0.5564516,0.53629035,0.12903225,0.2701613,0.31451613,0.37903225,0.34274194,0.076612905,0.07258064,0.06451613,0.06048387,0.06048387,0.12903225,0.39919356,0.7137097,1.092742,1.4354839,1.5120969,1.5846776,1.6491938,1.7096776,1.7701614
/Users/guillaumelobet/Desktop/Work/archisimple/outputs/dicot/shov/images/dicot-shov-10.14-1-1.071-0.00801-0.492-4.461-0.557-0.776-1.416-26.732-10-r234-10.rsml.jpg,5.08,2.1574943,0.84666663,196805.12,8100.9062,125.30666,604.51996,0.20728292,0.508172,0.48620564,0.03208612,0.38513795,0.26233277,0.22867893,0.23087375,0.22387123,0.16074415,0.1416179,9.897982,7.0,14634.831,14800.0,14585.394,14700.0,14700.0,14700.0,14700.0,14700.0,70645.945,71400.0,0.074324325,0.08108108,0.12162162,0.13513513,0.1418919,0.11486486,0.0945946,0.08108108,0.0945946,0.13513513,0.19594595,0.1554054,0.1418919,0.16891892,0.18243243,0.22297297,0.6756757,0.19594595,0.6013514,0.1554054,0.08108108,0.5202703,0.074324325,0.5405405,0.08108108,0.067567565,0.074324325,0.06081081,0.06081081,0.06081081,0.08108108,0.6013514,0.6756757,1.2162162,1.2972972,1.3648648,1.4391892,1.5,1.5608108,1.6216216
/Users/guillaumelobet/Desktop/Work/archisimple/outputs/dicot/shov/images/dicot-shov-10.174-1-1.367-0.02934-0.459-3.117-0.934-0.698-1.48-23.838-6-r276-6.rsml.jpg,4.233333,2.059177,0.84666663,73792.08,2236.8933,17.779999,256.53998,0.06930693,2.5402112,0.6263919,0.06926571,0.22634368,0.30734292,0.2365632,0.13550341,0.14004542,0.18281604,0.17411052,0.5465689,2.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,30300.0,30300.0,0.47619048,0.47619048,0.47619048,0.47619048,0.3809524,0.2857143,0.23809524,0.1904762,0.0952381,0.0,0.42857143,0.47619048,0.5714286,0.61904764,0.6666667,0.8095238,0.9047619,0.9047619,0.95238096,0.95238096,0.47619048,0.47619048,0.42857143,0.42857143,0.42857143,0.3809524,0.3809524,0.3809524,0.3809524,0.42857143,0.47619048,0.95238096,1.3809524,1.8095238,2.2380953,2.6190476,3.0,3.3809524,3.7619047,4.190476
/Users/guillaumelobet/Desktop/Work/archisimple/outputs/dicot/shov/images/dicot-shov-10.194-1-1.129-0.0117-0.524-3.768-0.119-0.808-1.081-27.524-8-r259-8.rsml.jpg,5.08,2.0397582,0.84666663,185971.17,5435.5996,132.92667,455.50665,0.29182157,0.8501379,0.5270165,0.22367601,0.28271028,0.211838,0.19174455,0.20996885,0.23676012,0.16884735,0.15716511,5.6301723,5.0,15602.985,15700.0,15446.269,15600.0,15600.0,15600.0,15637.313,15700.0,53337.977,53800.0,0.7324841,0.6369427,0.22292994,0.6942675,0.79617834,0.8089172,0.86624205,0.89171976,0.93630576,0.9426752,1.0,0.9936306,0.9490446,0.9299363,0.8789809,0.86624205,0.84713376,0.83439493,0.80254775,0.79617834,0.06369427,0.1656051,0.611465,0.15286624,0.070063695,0.070063695,0.06369427,0.05732484,0.05732484,0.05732484,0.06369427,0.22929937,0.84076434,0.9936306,1.0636942,1.133758,1.1974522,1.2547771,1.312102,1.3694268
/Users/guillaumelobet/Desktop/Work/archisimple/outputs/dicot/shov/images/dicot-shov-10.302-1-1.327-0.01763-0.449-3.306-0.34-1.699-1.304-21.671-7-r183-7.rsml.jpg,12.7,4.404337,0.84666663,428853.6,27042.533,259.92667,866.13995,0.30009776,0.5182405,0.43418577,0.24743268,0.30237946,0.2366938,0.19470882,0.26214778,0.2291484,0.14690045,0.13152787,5.6229095,8.0,30443.75,30700.0,30452.344,30600.0,30600.0,30600.0,30600.0,30600.0,101779.22,102300.0,0.4495114,0.27361563,0.20846905,0.4136808,0.4169381,0.4039088,0.40065145,0.42019543,0.4397394,0.4397394,0.504886,0.504886,0.48859936,0.46579805,0.47557002,0.49185666,0.6384365,0.9413681,0.6286645,0.5439739,0.094462544,0.35504887,0.732899,0.2247557,0.07491857,0.07166124,0.06514658,0.06840391,0.06514658,0.06514658,0.094462544,0.4495114,1.1824105,1.4071662,1.4820848,1.553746,1.6188926,1.6872965,1.7524431,1.8175896
/Users/guillaumelobet/Desktop/Work/archisimple/outputs/dicot/shov/images/dicot-shov-10.413-1-1.044-0.01197-0.87-4.612-0.667-1.248-0.868-19.571-8-r357-8.rsml.jpg,22.013332,5.3868074,3.3866665,385389.1,41120.906,235.37332,767.92664,0.30650496,0.68679404,0.43441254,0.13165046,0.38904217,0.3184813,0.12590595,0.19166942,0.27820787,0.21697414,0.116125844,2.1832523,9.0,27682.3,27800.0,27347.787,27600.0,27471.682,27700.0,27700.0,27700.0,89907.195,90700.0,0.36690646,0.38489208,0.38489208,0.21223022,0.06834532,0.010791367,0.4820144,0.6906475,0.6942446,0.6978417,0.75179857,0.74820143,0.7410072,0.8920863,0.9028777,0.8417266,0.85251796,0.7338129,0.55755395,0.5359712,0.16906475,0.17266187,0.34892085,0.64028776,0.7733813,0.8920863,0.41007194,0.05035971,0.053956833,0.053956833,0.16906475,0.3417266,0.6906475,1.3309352,2.1043165,2.9964027,3.4064746,3.4568343,3.510791,3.5647478
/Users/guillaumelobet/Desktop/Work/archisimple/outputs/dicot/shov/images/dicot-shov-10.444-1-1.589-0.01868-0.624-3.301-0.358-1.691-1.357-19.308-10-r463-10.rsml.jpg,30.48,6.1840515,3.3866665,1124191.2,131321.39,483.44666,1430.8666,0.33786982,0.4879873,0.38977054,0.20548794,0.33199015,0.3380506,0.11753404,0.20235455,0.27993476,0.199853,0.10449763,14.506983,22.0,56703.793,57100.0,56253.082,56500.0,56594.785,57000.0,56988.625,57000.0,167662.23,169000.0,0.41331,0.1821366,0.21891418,0.1295972,0.08056042,0.20490368,0.28021017,0.43432575,0.46234676,0.48861647,0.5218914,0.49737304,0.47460595,0.49912435,0.91418564,0.8056042,0.91243434,0.72329247,0.5236427,0.5201401,0.10683012,0.34150612,0.50437826,0.78283715,0.7250438,0.709282,0.21891418,0.04028021,0.03502627,0.033274956,0.10683012,0.44833624,0.9527145,1.7355516,2.4605954,3.1698773,3.3887916,3.4290717,3.464098,3.4973729
/Users/guillaumelobet/Desktop/Work/archisimple/outputs/dicot/shov/images/dicot-shov-10.583-1-1.045-0.0169-0.162-2.461-0.132-0.303-1.055-17.645-9-r169-9.rsml.jpg,1.6933333,0.8830654,0.84666663,75895.195,647.7,27.093332,198.96666,0.13617021,1.9827819,0.71254903,0.0,0.21045752,0.31764707,0.19738562,0.0,0.11633987,0.20392157,0.1764706,0.016722437,2.0,3200.0,3200.0,3200.0,3200.0,3200.0,3200.0,3200.0,3200.0,23500.0,23500.0,0.125,0.0625,0.125,0.21875,0.3125,0.4375,0.5625,0.65625,0.78125,0.875,1.0,0.875,0.78125,0.65625,0.5625,0.4375,0.3125,0.21875,0.15625,0.21875,0.09375,0.09375,0.09375,0.09375,0.125,0.125,0.09375,0.125,0.09375,0.125,0.09375,0.1875,0.28125,0.375,0.5,0.625,0.71875,0.84375,0.9375,1.0625
