image,diam_max,diam_mean,diam_mode,length,area,width,depth,width_depth_ratio,com_x,com_y,ellips_025,ellips_050,ellips_075,ellips_100,rect_020,rect_040,rect_060,rect_080,directionality,tip_count,cross_hori_0_mean,cross_hori_0_max,cross_hori_1_mean,cross_hori_1_max,cross_hori_2_mean,cross_hori_2_max,cross_hori_3_mean,cross_hori_3_max,cross_vert_mean,cross_vert_max,coord_x0,coord_x1,coord_x2,coord_x3,coord_x4,coord_x5,coord_x6,coord_x7,coord_x8,coord_x9,coord_x10,coord_x11,coord_x12,coord_x13,coord_x14,coord_x15,coord_x16,coord_x17,coord_x18,coord_x19,diff_x0,diff_x1,diff_x2,diff_x3,diff_x4,diff_x5,diff_x6,diff_x7,diff_x8,diff_x9,cumul_x0,cumul_x1,cumul_x2,cumul_x3,cumul_x4,cumul_x5,cumul_x6,cumul_x7,cumul_x8,cumul_x9
/Users/guillaumelobet/Desktop/Work/archisimple/outputs/monocot/3D/images/monocot-3D-10.164-1-1.253-0.02368-0.717-4.897-0-0.549-0.942-23.742-9-r6-9.rsml.jpg,6.773333,1.7857726,0.84666663,261577.66,7352.453,232.83333,353.06,0.6594724,0.6144458,0.46632966,0.14279135,0.31345,0.30884385,0.22927223,0.27683094,0.15764624,0.11135422,0.058498386,10.715777,7.0,27321.154,27500.0,27086.54,27200.0,27184.615,27400.0,27400.0,27400.0,41302.9,41700.0,0.2509091,0.25454545,0.21454546,0.13090909,0.06545454,0.018181818,0.4618182,0.46545455,0.4690909,0.47272727,0.49454546,0.4909091,0.48727274,0.48363635,0.59272724,0.96,0.8727273,0.75636363,0.61454546,0.6181818,0.36727273,0.36,0.5418182,0.7418182,0.89454544,0.57454544,0.021818181,0.021818181,0.021818181,0.021818181,0.36727273,0.72727275,1.2690909,2.010909,2.9054546,3.48,3.5018182,3.5236363,3.5454545,3.5672727
/Users/guillaumelobet/Desktop/Work/archisimple/outputs/monocot/3D/images/monocot-3D-10.284-1-1.013-0.00514-0.21-3.21-0-1.39-1.08-11.79-9-r296-9.rsml.jpg,18.626667,3.8931956,0.84666663,752597.75,58353.957,407.24664,959.2733,0.42453662,0.63500595,0.396469,0.13374539,0.24299933,0.2960593,0.2689272,0.26490816,0.14604916,0.059269898,0.053814456,5.061369,15.0,47552.113,48100.0,47607.746,47700.0,47788.73,47900.0,47976.055,48000.0,112434.02,113300.0,0.54677755,0.36590436,0.30769232,0.22661123,0.15800416,0.10602911,0.043659043,0.004158004,0.6091476,0.64241165,0.6777547,0.64449066,0.6361746,0.88357586,0.84199584,0.8253638,0.983368,0.9313929,0.8523908,0.73596674,0.1891892,0.4864865,0.6237006,0.7567568,0.66735965,0.73596674,0.8399168,0.63201666,0.035343036,0.035343036,0.1891892,0.6756757,1.2993762,2.056133,2.7234926,3.4594593,4.299376,4.9313927,4.966736,5.002079
/Users/guillaumelobet/Desktop/Work/archisimple/outputs/monocot/3D/images/monocot-3D-10.299-1-1.59-0.01019-0.487-4.836-0-0.852-1.525-20.643-7-r188-7.rsml.jpg,8.466666,2.3876214,0.84666663,366659.16,10241.279,346.28665,404.70667,0.8556485,0.49435952,0.39658135,0.17642196,0.22982804,0.29662699,0.21428572,0.38029101,0.082093254,0.08043981,0.082175925,15.108839,5.0,40561.668,40900.0,40625.0,40700.0,40783.332,40800.0,40800.0,40800.0,47591.22,47800.0,0.200489,0.18581907,0.10268949,0.036674816,0.0,0.3202934,0.32518336,0.3422983,0.36674815,0.38630807,0.41320294,0.39364302,0.36919317,0.34963325,0.34474328,0.34963325,0.36674815,0.8973105,0.71393645,0.6797066,0.47921762,0.52811736,0.79462105,0.33007336,0.34963325,0.024449877,0.024449877,0.026894866,0.026894866,0.026894866,0.47921762,1.007335,1.8019559,2.1320293,2.4816625,2.5061123,2.5305622,2.557457,2.5843518,2.6112466
/Users/guillaumelobet/Desktop/Work/archisimple/outputs/monocot/3D/images/monocot-3D-10.328-1-1.362-0.0033-0.811-3.591-0-0.209-1.646-14.295-8-r222-8.rsml.jpg,1.6933333,0.8581391,0.84666663,63938.57,457.19998,61.806664,91.439995,0.6759259,0.9839168,0.76611793,0.16851851,0.13333334,0.23888889,0.2462963,0.2851852,0.07962963,0.0,0.0,24.253428,3.0,7300.0,7300.0,7242.857,7300.0,7150.0,7200.0,7200.0,7200.0,10724.324,10800.0,0.04109589,0.01369863,0.01369863,0.02739726,0.04109589,0.04109589,0.04109589,0.05479452,0.05479452,0.05479452,0.08219178,0.08219178,0.08219178,0.06849315,0.06849315,0.06849315,1.0,0.7671233,0.47945204,0.06849315,0.02739726,0.46575344,0.75342464,0.9726027,0.02739726,0.02739726,0.02739726,0.02739726,0.02739726,0.02739726,0.02739726,0.4931507,1.2465754,2.2191782,2.2465754,2.2739725,2.3013697,2.3287668,2.356164,2.3835611
/Users/guillaumelobet/Desktop/Work/archisimple/outputs/monocot/3D/images/monocot-3D-10.352-1-1.195-0.02601-0.602-4.549-0-1.647-1.494-27.157-8-r348-8.rsml.jpg,25.4,4.929327,3.3866665,679883.5,80546.78,399.62665,1009.2266,0.39597315,0.4591841,0.37381244,0.15164925,0.4182101,0.26976687,0.10022705,0.28062522,0.29435322,0.18503374,0.09700002,4.4517527,16.0,46557.72,47200.0,46500.67,46800.0,46903.355,47000.0,47081.207,47100.0,118091.945,119200.0,0.26694915,0.086864404,0.2584746,0.2648305,0.25635594,0.25211865,0.3368644,0.31355932,0.2881356,0.28177965,0.3220339,0.33050847,0.3559322,0.654661,0.64830506,0.6694915,0.8601695,0.7288136,0.78177965,0.43432203,0.16737288,0.69491524,0.47033897,0.595339,0.4131356,0.39618644,0.31779662,0.042372882,0.042372882,0.04025424,0.16737288,0.8622881,1.332627,1.9279661,2.3411016,2.737288,3.0550847,3.0974576,3.1398306,3.180085
/Users/guillaumelobet/Desktop/Work/archisimple/outputs/monocot/3D/images/monocot-3D-10.374-1-1.349-0.00905-0.723-3.668-0-0.521-1.166-6.961-9-r433-9.rsml.jpg,5.9266667,1.6113029,0.84666663,332546.94,7322.82,342.9,350.52,0.9782609,0.568323,0.41880646,0.25540525,0.27829808,0.19204532,0.15967163,0.34547347,0.2215285,0.08764019,0.059081975,16.296303,7.0,40221.152,40500.0,40026.92,40200.0,40271.152,40400.0,40400.0,40400.0,41104.434,41400.0,0.21975309,0.22222222,0.08148148,0.47901234,0.491358,0.5037037,0.51111114,0.5160494,0.5185185,0.52098763,0.5382716,0.53333336,0.5308642,0.52592593,0.5185185,0.94074076,0.84444445,0.75308645,0.7012346,0.7061728,0.48641977,0.47901234,0.67160493,0.3654321,0.44938272,0.014814815,0.014814815,0.014814815,0.014814815,0.01728395,0.48641977,0.9654321,1.637037,2.002469,2.4518518,2.4666667,2.4814816,2.4962964,2.5111113,2.5283952
/Users/guillaumelobet/Desktop/Work/archisimple/outputs/monocot/3D/images/monocot-3D-10.424-1-1.394-0.01877-0.674-5.521-0-1.577-1.024-25.217-9-r320-9.rsml.jpg,19.473333,3.887673,3.3866665,1161856.9,144935.78,635.8466,1110.8267,0.57240856,0.43838242,0.37244272,0.13370408,0.30534396,0.39040446,0.13213268,0.23855618,0.19876273,0.1423147,0.054239884,8.27662,29.0,74068.91,75100.0,73750.0,74100.0,74465.24,74900.0,74959.15,75000.0,129829.26,131200.0,0.31691077,0.0,0.122503325,0.075898804,0.05858855,0.10918775,0.10918775,0.47003993,0.47270307,0.4713715,0.4966711,0.4966711,0.84287614,0.828229,0.82556593,0.82556593,0.770972,0.97603196,0.68841547,0.5166445,0.19973369,0.68841547,0.8535286,0.69507325,0.76697737,0.71637815,0.7190413,0.37283623,0.023968043,0.025299601,0.19973369,0.88814914,1.7416778,2.436751,3.2037282,3.9201064,4.6391478,5.011984,5.035952,5.0612516
/Users/guillaumelobet/Desktop/Work/archisimple/outputs/monocot/3D/images/monocot-3D-10.536-1-1.665-0.0174-0.833-2.668-0-0.459-1.501-14.822-6-r341-6.rsml.jpg,2.54,1.2753137,0.84666663,90419.766,1239.52,95.67333,153.24666,0.6243094,0.6446214,0.6198865,0.08128415,0.24248634,0.22814208,0.19603825,0.30191258,0.13114753,0.12363388,0.04781421,20.541334,2.0,11300.0,11300.0,11108.695,11300.0,11200.0,11200.0,11200.0,11200.0,17942.105,18100.0,0.10619469,0.11504425,0.10619469,0.097345136,0.07964602,0.061946902,0.044247787,0.026548672,0.0088495575,0.0,0.044247787,0.053097345,0.07079646,0.097345136,0.11504425,0.13274336,0.15044248,0.15929204,0.7876106,0.15044248,0.044247787,0.67256635,0.053097345,0.053097345,0.053097345,0.053097345,0.053097345,0.044247787,0.044247787,0.044247787,0.044247787,0.71681416,0.7699115,0.8230089,0.87610626,0.9292036,0.982301,1.0265487,1.0707965,1.1150442
/Users/guillaumelobet/Desktop/Work/archisimple/outputs/monocot/3D/images/monocot-3D-10.552-1-1.589-0.026-0.149-4.337-0-0.99-0.82-12.706-6-r233-6.rsml.jpg,8.466666,2.5612948,0.84666663,335747.34,10015.22,314.96,407.24664,0.7733888,0.5838764,0.41641495,0.19815707,0.19291572,0.21083777,0.25378308,0.34068814,0.092061885,0.090624735,0.091216505,7.3967967,4.0,36926.668,37200.0,36973.332,37000.0,37065.0,37100.0,37100.0,37100.0,47863.977,48100.0,0.33870968,0.3172043,0.19892474,0.10752688,0.032258064,0.61021507,0.61021507,0.6182796,0.62096775,0.62096775,0.6505376,0.6505376,0.64784944,0.6424731,0.63978493,0.63709676,0.6344086,0.9731183,0.86021507,0.83870965,0.5,0.5430108,0.7741935,0.5268817,0.6048387,0.029569892,0.032258064,0.029569892,0.029569892,0.029569892,0.5,1.0430107,1.8172042,2.344086,2.9489245,2.9784944,3.0107524,3.0403223,3.0698922,3.099462
/Users/guillaumelobet/Desktop/Work/archisimple/outputs/monocot/3D/images/monocot-3D-10.629-1-1.177-0.03067-0.36-3.054-0-0.634-1.64-16.172-10-r479-10.rsml.jpg,8.466666,1.7474643,0.84666663,423371.4,13776.96,344.59332,502.07333,0.68634063,0.47199997,0.42515662,0.264442,0.27452064,0.22093166,0.19167896,0.328294,0.18651672,0.11191003,0.05149951,7.7874594,8.0,40344.594,40700.0,40185.137,40300.0,40433.785,40500.0,40532.434,40600.0,58875.49,59300.0,0.31695333,0.27272728,0.14004914,0.034398034,0.17936118,0.14496315,0.12039312,0.1031941,0.52334154,0.5257985,0.54299754,0.54299754,0.5257985,0.52334154,0.995086,0.94348896,0.8697789,0.76658475,0.64619166,0.6093366,0.29238328,0.37346438,0.62653565,0.83538085,0.7641278,0.85012287,0.4029484,0.4226044,0.01965602,0.017199017,0.29238328,0.66584766,1.2923833,2.1277642,2.891892,3.742015,4.1449633,4.567568,4.587224,4.604423
/Users/guillaumelobet/Desktop/Work/archisimple/outputs/monocot/3D/images/monocot-3D-10.632-1-1.31-0.02842-0.771-4.666-0-0.421-1.253-15.649-5-r223-5.rsml.jpg,1.6933333,1.0986238,0.84666663,54493.16,414.02,10.16,102.44666,0.09917355,4.1042094,0.8972181,0.012269938,0.28629857,0.31083843,0.2413088,0.10429448,0.16973415,0.20858896,0.19222903,1.526698,2.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,12100.0,12100.0,0.41666666,0.5833333,0.5,0.41666666,0.41666666,0.33333334,0.25,0.16666667,0.083333336,0.0,0.33333334,0.41666666,0.5,0.5833333,0.6666667,0.75,0.8333333,0.8333333,0.9166667,0.75,0.33333334,0.33333334,0.33333334,0.41666666,0.33333334,0.33333334,0.33333334,0.33333334,0.33333334,0.33333334,0.33333334,0.6666667,1.0,1.4166666,1.75,2.0833333,2.4166665,2.7499998,3.083333,3.4166663
/Users/guillaumelobet/Desktop/Work/archisimple/outputs/monocot/3D/images/monocot-3D-10.703-1-1.54-0.00222-0.213-3.081-0-0.728-1.436-5.156-8-r412-8.rsml.jpg,6.773333,1.988321,0.84666663,370704.53,8892.54,341.20667,452.12,0.75468165,0.49169374,0.39142329,0.25316575,0.26792344,0.18832715,0.20813102,0.3477102,0.16814244,0.11292012,0.082738265,6.7860126,5.0,39989.55,40300.0,40020.895,40100.0,40177.613,40200.0,40200.0,40200.0,53134.652,53400.0,0.21091811,0.16873449,0.017369727,0.4044665,0.39205956,0.44665012,0.44665012,0.43920594,0.4317618,0.4292804,0.4516129,0.4516129,0.46153846,0.46898264,0.46898264,0.4739454,0.47890818,0.87593055,0.72208434,0.67493796,0.46401986,0.55334985,0.8585608,0.074441686,0.08188586,0.022332506,0.022332506,0.022332506,0.019851116,0.022332506,0.46401986,1.0173697,1.8759305,1.9503722,2.032258,2.0545905,2.076923,2.0992553,2.1191065,2.141439
