image,diam_max,diam_mean,diam_mode,length,area,width,depth,width_depth_ratio,com_x,com_y,ellips_025,ellips_050,ellips_075,ellips_100,rect_020,rect_040,rect_060,rect_080,directionality,tip_count,cross_hori_0_mean,cross_hori_0_max,cross_hori_1_mean,cross_hori_1_max,cross_hori_2_mean,cross_hori_2_max,cross_hori_3_mean,cross_hori_3_max,cross_vert_mean,cross_vert_max,coord_x0,coord_x1,coord_x2,coord_x3,coord_x4,coord_x5,coord_x6,coord_x7,coord_x8,coord_x9,coord_x10,coord_x11,coord_x12,coord_x13,coord_x14,coord_x15,coord_x16,coord_x17,coord_x18,coord_x19,diff_x0,diff_x1,diff_x2,diff_x3,diff_x4,diff_x5,diff_x6,diff_x7,diff_x8,diff_x9,cumul_x0,cumul_x1,cumul_x2,cumul_x3,cumul_x4,cumul_x5,cumul_x6,cumul_x7,cumul_x8,cumul_x9
/Users/guillaumelobet/Desktop/Work/archisimple/outputs/monocot/shov/images/monocot-shov-10.014-1-1.214-0.02674-0.121-4.801-0-0.209-1.15-9.195-9-r116-9.rsml.jpg,1.6933333,0.8510764,0.84666663,84764.875,522.3933,113.45333,89.746666,1.264151,0.59927064,0.8378719,0.23338735,0.23987034,0.26418152,0.25121555,0.29983792,0.15397082,0.074554294,0.07617504,29.607012,3.0,13400.0,13400.0,13400.0,13400.0,13030.77,13100.0,13115.385,13200.0,10470.149,10600.0,0.07462686,0.38059703,0.26119402,0.1716418,0.08955224,0.0074626864,0.47014925,0.4552239,0.4477612,0.4402985,0.4552239,0.46268657,0.47761193,0.48507464,0.96268654,0.8955224,0.8134328,0.73880595,0.63432837,0.9029851,0.82835823,0.25373134,0.47761193,0.64179105,0.80597013,0.95522386,0.014925373,0.02238806,0.014925373,0.014925373,0.82835823,1.0820895,1.5597014,2.2014925,3.0074627,3.9626865,3.977612,4.0,4.0149255,4.029851
/Users/guillaumelobet/Desktop/Work/archisimple/outputs/monocot/shov/images/monocot-shov-10.021-1-1.174-0.00382-0.2-3.651-0-1-1.085-10.593-8-r338-8.rsml.jpg,8.466666,2.6964834,0.84666663,347930.88,15277.253,306.49332,457.19998,0.6703704,0.5796549,0.4398174,0.14531146,0.2560962,0.21347816,0.22040567,0.26274663,0.15024385,0.1398803,0.0808579,4.3773227,5.0,35942.65,36200.0,35847.06,36000.0,36000.0,36000.0,36041.176,36100.0,53625.97,54000.0,0.25414366,0.21270718,0.063535914,0.024861878,0.4364641,0.44475138,0.44475138,0.45027626,0.4640884,0.4640884,0.49723756,0.49447513,0.8756906,0.839779,0.79281765,0.7430939,0.9751381,0.839779,0.6767956,0.6270718,0.37292817,0.4640884,0.7762431,0.95027626,0.30662984,0.3480663,0.39502764,0.42541435,0.03038674,0.03314917,0.37292817,0.8370166,1.6132597,2.563536,2.8701658,3.2182322,3.6132598,4.0386744,4.0690613,4.1022105
/Users/guillaumelobet/Desktop/Work/archisimple/outputs/monocot/shov/images/monocot-shov-10.043-1-1.367-0.01791-0.429-3.722-0-1.487-0.903-16.744-10-r480-10.rsml.jpg,20.32,4.1070037,0.84666663,1058963.2,97155.0,500.37997,1157.3933,0.4323336,0.5585507,0.3595897,0.128183,0.2607756,0.22562091,0.30472332,0.28126362,0.118117645,0.08284096,0.047111113,3.6807187,32.0,58264.914,59100.0,58335.086,58700.0,58742.105,58900.0,58973.684,59000.0,135514.53,136700.0,0.42808798,0.17089678,0.06768189,0.09813875,0.07106599,0.05245347,0.01861252,0.0016920473,0.47546533,0.4856176,0.5143824,0.50423014,0.5025381,1.0,0.9966159,0.9492386,0.9103215,0.96277493,0.80203044,0.8307953,0.40270728,0.6311337,0.8950931,0.8121827,0.8781726,0.9441624,0.9813875,0.500846,0.028764805,0.028764805,0.40270728,1.0338409,1.928934,2.7411168,3.6192894,4.563452,5.5448394,6.0456853,6.07445,6.1032147
/Users/guillaumelobet/Desktop/Work/archisimple/outputs/monocot/shov/images/monocot-shov-10.109-1-1.502-0.02423-0.695-2.29-0-1.071-1.566-26.304-8-r228-8.rsml.jpg,13.546666,2.7459898,0.84666663,484048.62,38471.688,379.30667,607.06,0.62482566,0.58379287,0.3549615,0.22859217,0.36367437,0.25136998,0.12643324,0.34653053,0.22790995,0.12421048,0.053170186,20.299147,20.0,44082.223,44800.0,43851.11,44400.0,44492.223,44700.0,44700.0,44700.0,70831.695,71700.0,0.29464287,0.16294643,0.12276786,0.020089285,0.3861607,0.53348213,0.5401786,0.52678573,0.51116073,0.49330357,0.52008927,0.5379464,0.5558036,0.6875,0.6808036,0.8995536,0.8526786,0.78125,0.70535713,0.734375,0.43973213,0.54241073,0.65848213,0.83258927,0.51339287,0.14732143,0.14732143,0.029017856,0.026785715,0.026785715,0.43973213,0.98214287,1.640625,2.4732141,2.986607,3.1339285,3.28125,3.310268,3.3370535,3.3638391
/Users/guillaumelobet/Desktop/Work/archisimple/outputs/monocot/shov/images/monocot-shov-10.129-1-1.546-0.02636-0.737-3.236-0-0.842-1.187-27.475-9-r273-9.rsml.jpg,12.7,2.41742,0.84666663,440597.7,28237.18,354.75333,554.56665,0.63969463,0.43086419,0.3895613,0.19633594,0.3564511,0.30706725,0.11345986,0.30970585,0.23060778,0.15861593,0.06614494,17.178701,17.0,41362.195,41900.0,41047.562,41400.0,41460.977,41700.0,41785.367,41800.0,64748.094,65500.0,0.24582338,0.21002387,0.07398568,0.11933174,0.3293556,0.29594272,0.25059667,0.31742242,0.2935561,0.28162292,0.3031026,0.31742242,0.33890215,0.35560858,0.9928401,0.93317425,0.86634845,0.77565634,0.75656325,0.57279235,0.32696897,0.54653937,0.70167065,0.7470167,0.6038186,0.6968974,0.10501193,0.021479713,0.023866348,0.021479713,0.32696897,0.87350833,1.575179,2.3221958,2.9260144,3.622912,3.7279239,3.7494035,3.77327,3.7947495
/Users/guillaumelobet/Desktop/Work/archisimple/outputs/monocot/shov/images/monocot-shov-10.129-1-1.607-0.01126-0.797-4.684-0-1.338-0.965-7.677-7-r40-7.rsml.jpg,12.7,3.5936477,0.84666663,586465.7,37682.594,416.56,659.55334,0.6315789,0.5883498,0.37736893,0.14577483,0.3152987,0.29988542,0.20306918,0.28658414,0.18691441,0.114498846,0.0762352,8.007614,13.0,48736.082,49200.0,48637.113,48800.0,48979.383,49100.0,49100.0,49100.0,77367.48,77900.0,0.37195122,0.27439025,0.1402439,0.06504065,0.0121951215,0.5101626,0.3597561,0.49796748,0.4898374,0.48577237,0.51829267,0.5223577,0.52845526,0.5345529,0.9979675,0.949187,0.91056913,0.8577236,0.7723577,0.7012195,0.3292683,0.49796748,0.71747965,0.8455285,0.9369919,0.4878049,0.17479675,0.030487806,0.032520324,0.032520324,0.3292683,0.8272358,1.5447154,2.390244,3.327236,3.8150408,3.9898376,4.0203257,4.052846,4.0853662
/Users/guillaumelobet/Desktop/Work/archisimple/outputs/monocot/shov/images/monocot-shov-10.225-1-1.418-0.02884-0.105-4.829-0-0.56-1.163-27.718-9-r147-9.rsml.jpg,6.773333,1.6542909,0.84666663,240693.78,7299.1133,215.9,350.52,0.615942,0.7203525,0.4314211,0.21992809,0.31214476,0.18884121,0.13478714,0.35935506,0.21227236,0.12388354,0.019835286,16.775005,6.0,25269.23,25500.0,25050.0,25100.0,25250.0,25300.0,25428.846,25500.0,40996.875,41400.0,0.5137255,0.5176471,0.32156864,0.16862746,0.047058824,0.5372549,0.89411765,0.92156863,0.94509804,0.972549,1.0,0.972549,0.94509804,0.92156863,0.89411765,0.8745098,0.8666667,0.85490197,0.9764706,0.98039216,0.46666667,0.45882353,0.53333336,0.69803923,0.827451,0.35686275,0.02745098,0.023529412,0.02745098,0.02745098,0.46666667,0.9254902,1.4588236,2.1568627,2.9843137,3.3411765,3.3686275,3.392157,3.419608,3.4470592
/Users/guillaumelobet/Desktop/Work/archisimple/outputs/monocot/shov/images/monocot-shov-10.29-1-1.282-0.00522-0.625-4.022-0-1.506-1.276-23.446-7-r471-7.rsml.jpg,14.3933325,3.6122334,3.3866665,768973.1,46675.04,523.24,758.61334,0.68973213,0.50047606,0.3655215,0.21087287,0.29551226,0.23545204,0.23467204,0.3204542,0.1850058,0.08489334,0.05608765,15.7792635,12.0,61267.855,61800.0,61182.145,61400.0,61616.965,61700.0,61700.0,61700.0,89083.49,89600.0,0.2605178,0.18122977,0.07928803,0.03883495,0.3802589,0.38511327,0.39967638,0.4012945,0.3883495,0.3656958,0.394822,0.4158576,0.42880258,0.42718446,0.9789644,0.9174757,0.8365696,0.75242716,0.61488676,0.49676377,0.23624596,0.43365696,0.67313915,0.7977346,0.53721684,0.59385115,0.027508091,0.027508091,0.027508091,0.029126214,0.23624596,0.6699029,1.3430421,2.1407766,2.6779935,3.2718446,3.2993526,3.3268607,3.3543687,3.3834949
/Users/guillaumelobet/Desktop/Work/archisimple/outputs/monocot/shov/images/monocot-shov-10.397-1-1.403-0.02476-0.715-5.866-0-1.447-1.224-23.022-9-r306-9.rsml.jpg,20.32,3.9170315,3.3866665,730605.56,100146.27,425.02664,1011.76666,0.42008367,0.52344763,0.3623908,0.16185758,0.34996575,0.3088525,0.15132353,0.24833661,0.2523693,0.13040759,0.047902066,4.321004,24.0,49450.336,50200.0,49088.59,49600.0,49787.918,50000.0,50079.867,50100.0,118055.375,119500.0,0.24701196,0.20717132,0.15936255,0.12350598,0.0936255,0.32868525,0.50398403,0.49402392,0.48207173,0.47011954,0.50398403,0.51593626,0.5278884,0.89641434,0.8386454,0.9302789,0.9243028,0.8247012,0.7549801,0.6314741,0.38446215,0.54780877,0.66533864,0.8007968,0.8366534,0.5099602,0.39243028,0.033864543,0.033864543,0.033864543,0.38446215,0.9322709,1.5976095,2.3984063,3.2350597,3.74502,4.13745,4.1713147,4.205179,4.2390437
/Users/guillaumelobet/Desktop/Work/archisimple/outputs/monocot/shov/images/monocot-shov-10.665-1-1.533-0.02974-0.74-5.886-0-1.018-1.557-14.535-6-r206-6.rsml.jpg,9.3133335,2.8532598,0.84666663,232799.45,10388.6,208.28,406.4,0.5125,0.5324743,0.44737452,0.12616137,0.3243684,0.22689487,0.198859,0.2805216,0.19266504,0.09633252,0.094947025,2.7793014,4.0,24398.334,24600.0,24333.334,24400.0,24438.334,24500.0,24500.0,24500.0,47578.863,48000.0,0.1097561,0.07317073,0.35365853,0.36178863,0.37804878,0.398374,0.41869918,0.42682928,0.42682928,0.43089432,0.4796748,0.47560975,0.47560975,0.46747968,0.99593496,0.94715446,0.87398374,0.7601626,0.6300813,0.60162604,0.49186993,0.5569106,0.40650406,0.5121951,0.5691057,0.597561,0.048780486,0.048780486,0.048780486,0.048780486,0.49186993,1.0487804,1.4552845,1.9674796,2.5365853,3.1341462,3.1829267,3.231707,3.2804875,3.329268
