"","gt","diam_max","diam_mean","diam_mode","length","area","width","depth","width_depth_ratio","com_x","com_x.1","ellips_025","ellips_050","ellips_075","ellips_100","rect_020","rect_040","rect_060","rect_080","directionality","tip_count","cross_hori_0_mean","cross_hori_0_max","cross_hori_1_mean","cross_hori_1_max","cross_hori_2_mean","cross_hori_2_max","cross_hori_3_mean","cross_hori_3_max","cross_vert_mean","cross_vert_max","coord_x0","coord_x1","coord_x2","coord_x3","coord_x4","coord_x5","coord_x6","coord_x7","coord_x8","coord_x9"
"1","tot_root_length",0.199633369372086,0.0516012795174762,0.373020331592278,0.157057388528806,0.360325272249358,0.538249267852684,0.166331791181184,0.0331394976745825,0.00146816546494884,0.019357063090423,0.164473724209121,0.232345845394928,0.218595071151643,0.14200312698265,0.427751037355278,0.227716486305603,0.318553876519316,0.0690781485554227,0.00679919497289233,0.468746698656251,0.330911562496817,0.00192434631434861,0.524619190056916,0.194576383631737,0.729861457602498,0.337875645307529,0.758533434335259,0.580438024543645,0.255712061894434,0.0320632468488459,0.000196176858785265,0.149986931586055,0.0045838226692365,0.0119883785181694,0.00129785624703284,0.00163372394133336,0.0340562350254091,0.0026768055038398,0.122483134148937,0.00303654074892334
"2","n_primary",0.125498728723777,0.0253183047531963,0.0690010203767712,0.0145198026122621,0.126804836267689,0.116367297344339,0.0135869758021231,0.026644863842135,0.00211404396791619,0.0196849934980408,0.10295004440217,0.0335856252803656,0.106156740955135,0.00583919956422279,0.18210897433722,0.0282961549577176,0.0862290864946033,0.080203930420187,0.0117918045333338,0.17445754571109,0.0659841190748828,0.000951631154217225,0.1495209619144,0.0765529134097145,0.346380672494474,0.165305096134876,0.791567727137051,0.223503045068293,0.0557148602203807,0.00152882392527291,4.51607288865795e-05,0.0286877392887444,0.000489064323206752,0.0327803405271564,0.000609439407962945,1.98660530395902e-07,0.0572011176381494,0.00244008560795654,0.015842508240462,0.000351981182659382
"3","tot_prim_length",0.381794534758073,0.187383036953189,0.222607049819956,0.220453519999393,0.458771258615467,0.336066459485922,0.226762496873923,2.21187873497255e-05,0.000346811800899461,0.000755346040378092,0.183209522069841,0.0942835612687005,0.229382380960657,0.0332252781935828,0.349743109108135,0.0794120724359863,0.207355854904349,0.138615553120268,0.00605051291694371,0.400244507519625,0.218881056040482,0.000508606160528009,0.269311644956984,0.141804121820212,0.463685586539046,0.265105178917985,0.762952739020538,0.34093299794715,0.316987430170517,0.0945062470611412,0.00252746686206203,0.0851385990041932,0.00229435189367637,0.0273177389171906,0.00150524546570142,0.000640613152948418,0.0503193113803997,0.00276985346546496,0.0634313139180324,0.0103431482531937
"4","mean_prim_length",0.656974412873155,0.498324221633617,0.402783767020113,0.697943447966649,0.835412093616195,0.614276969968181,0.713927071711423,0.0321200606696482,0.000449669426063717,0.0518707497320667,0.154428225575364,0.201538760726304,0.303962881910511,0.0884331966335245,0.38988675279923,0.161840073651511,0.332475439668068,0.113173768968317,0.0147194889691629,0.587850653533198,0.490828523961644,0.00505957075887366,0.340595293418711,0.220565967651619,0.34307913572292,0.298386484128851,0.235157061763299,0.266169677259884,0.736869148981679,0.308967580601367,0.0223177532490325,0.175241171550381,0.0207042159825586,0.0115336473748391,0.00230908158317477,0.00176233450532915,0.0250175636251977,0.040319584459621,0.14397907799653,0.0674403752044045
"5","mean_prim_diameter",0.82700853676247,0.895844372124644,0.0904691583067001,0.728172003528872,0.69925944626623,0.169827295150864,0.727155200768648,0.204063618048813,0.00415378182265513,0.020154822072785,0.0547373619832654,0.0281427034742999,0.161047729791873,0.00104965373154882,0.0950278633459034,0.00905394323007687,0.0915969225201187,0.105615639929714,0.0366042372849459,0.18531363603443,0.239710276785032,0.0448248759941721,0.0165447117830788,0.0816450710117234,0.00234543276769992,0.0752624369757463,6.91102886141974e-05,0.000691727092564239,0.640464995610804,0.445299876858048,0.0502300548741925,0.0498944691562682,0.0249793245722267,0.00895341804283914,0.00114339263649404,7.22024729667491e-05,0.0146272854279706,0.0583056320870736,0.035265762692194,0.134019402994635
"6","mean_lat_density",0.396039379502417,0.323253679646016,0.224897019690108,0.37328901261165,0.414533695658497,0.387934808033586,0.356358221998493,0.00153259441057762,0.000286731336337931,0.0532630649362562,0.0929175692685988,0.173837827241628,0.269271883501202,0.045067263419666,0.223108541450611,0.102043700301396,0.243834275023238,0.0400133924600072,0.094598156468016,0.343823585931205,0.383252981120808,0.0337567593768177,0.230635709041843,0.270626724554459,0.209324134497957,0.278775802152981,0.111864809951745,0.111672290591412,0.373655975867706,0.121290282766856,0.0620055458184444,0.153129389564913,0.00736077255044245,0.0252069290864913,0.00175111589689556,0.00209363194680367,0.0447225624101814,0.0340018172040524,0.159100792812792,0.0615991245674987
"7","n_laterals",0.308089406895954,0.123530342898627,0.264241326924264,0.180008383185502,0.410812407593308,0.394046907380967,0.187235184458862,0.00754048577991023,0.000893455288089516,0.00107961228459041,0.174650791625441,0.139863566429803,0.218514595513821,0.067101610341017,0.372145395069739,0.127729554656714,0.245898020220271,0.11311631531073,0.00974700931059319,0.41638534233364,0.256253011093149,2.37030491726578e-05,0.354780928819506,0.161333201492533,0.570988513058006,0.298143193742942,0.809775366912579,0.425242249373766,0.280921132063244,0.0624082992731515,0.000861559246949933,0.103859550770086,0.00348508251057975,0.0218382455546053,0.00118116395699425,0.000812126886696582,0.0461085007016392,0.00251933992932479,0.0794453821554973,0.00576220540348223
"8","tot_lat_length",0.167329410413781,0.0346920264137462,0.394175768531386,0.142578558459652,0.333842866572821,0.565127094353703,0.151992918033453,0.0448417221561169,0.00171080332982544,0.0281612445372611,0.156614781893459,0.25739410026232,0.210656477582439,0.165815640398759,0.43088045139872,0.256372354295093,0.332355867762949,0.0570959800126683,0.00669697667016415,0.468796776693456,0.344446331449324,0.0030897528801618,0.565223378701587,0.199577351065222,0.763802414658082,0.342433869431831,0.735690017099806,0.614312887407098,0.238374131225718,0.0234613275953879,5.3513449843591e-05,0.159550153289879,0.00494861308722241,0.00953036207484441,0.00122612940801576,0.00181735051859472,0.0304625848558591,0.00259084590396448,0.131916392274065,0.00210002183538471
"9","mean_lat_length",0.0837411059374061,0.0199580529321788,0.614042040544378,0.185384239345149,0.243183867322497,0.90808706870101,0.193658140871451,0.128460207742119,0.000578481934595323,0.399776167270411,0.0477218880350891,0.647399404207072,0.162904766651578,0.487399585642428,0.369154825962242,0.645719160235401,0.52988913019475,0.0011262322737274,0.104383643137147,0.437284856021681,0.752013194124465,0.000103773596374821,0.890144011579972,0.359207504244371,0.696173844954,0.399288948681229,0.0974920868663712,0.472020558140133,0.240878334275646,0.0051058483150563,0.00611904483754185,0.320250354193315,0.036259986958733,3.04748476868101e-05,0.000738528206816215,0.00303551954010045,0.00454665638575597,0.0320099815402739,0.272503636633985,0.0276486002589497
"10","mean_lat_diameter",0.229943747260285,0.137201938062888,0.378337323193713,0.228324728316647,0.27851508629163,0.626873598591436,0.227502485574859,0.0735686816756057,0.0001846866737747,0.566833406437396,0.00987459957171407,0.583588002208714,0.0930156688480551,0.427783600852382,0.16997454358152,0.552301222227491,0.4013932086085,0.00366151887877902,0.355391398222152,0.144329992806394,0.831542402426294,0.0403497845711436,0.565589846790752,0.369110125620826,0.322315211530034,0.326627567368265,0.003789530458253,0.0975909712349814,0.268058846694101,0.0249749770313356,0.0267081279561616,0.249857631495786,0.0732076548868865,1.93004732007902e-05,8.23144921778194e-05,7.20679889839097e-05,0.0119793924799384,0.0677158915928181,0.201912432583008,0.097320376043588
