image,tot_root_length,n_primary,tot_prim_length,mean_prim_length,mean_prim_diameter,mean_lat_density,n_laterals,tot_lat_length,mean_lat_length,mean_lat_diameter,mean_lat_angle
sim-15-0.6-0.01-0.8-4-1.3-0.65-4-15.rsml,6957.873,6,736,123.152,1.016,0.353,134,6147,46.41,0.806,57.818
sim-15-1.1-0.01-0.5-4-1.3-0.7-3-20.rsml,31438.992,18,2827,157.557,1.335,0.311,571,28311,50.093,0.732,58.029
sim-15-0.8-0.01-0.5-4-1.3-0.75-2-15.rsml,10272.893,9,1350,150.499,1.973,0.307,240,8783,37.16,1.031,56.863
sim-15-0.8-0.01-0.2-4-1.3-0.25-2-15.rsml,659.113,8,398,50.101,1.239,0.316,26,245,9.935,0.518,60.445
sim-15-0.7-0.01-0.4-4-1.3-0.3-3-15.rsml,1023,7,409,58.833,1.435,0.334,45,590,13.582,0.75,53.272
sim-15-0.5-0.01-0.8-4-1.3-0.4-1-10.rsml,247.116,3,110,37.179,1.131,0.409,10,132,13.558,0.872,56.787
sim-15-1.2-0.01-0.3-4-1.3-0.35-1-10.rsml,302.91,8,228,28.979,0.97,0.457,10,66,7.108,0.478,61.918
sim-15-1.2-0.01-0.8-4-1.3-1-1-20.rsml,22009.539,21,2096,100.321,0.583,0.346,419,19681,47.501,0.449,58.192
sim-15-1-0.01-0.2-4-1.3-0.7-5-20.rsml,30616.883,17,4267,251.499,3.041,0.276,762,25945,34.569,0.794,58.86
sim-15-0.8-0.01-0.2-4-1.3-0.45-5-10.rsml,266.989,5,209,42.546,1.221,0.415,7,49,7.752,0.456,65.345
sim-15-1.5-0.01-0.4-4-1.3-0.5-3-15.rsml,9974.165,18,2030,113.21,1.946,0.337,300,7779,26.455,0.908,59.91
sim-15-1.2-0.01-0.2-4-1.3-0.6-3-20.rsml,27566.383,20,4382,219.64,2.876,0.273,746,22777,31.064,0.784,59.675
sim-15-0.6-0.01-0.3-4-1.3-0.8-5-15.rsml,6075.007,7,1156,165.627,3.219,0.349,175,4826,28.089,1.149,59.855
sim-15-1.2-0.01-0.4-4-1.3-0.75-5-15.rsml,13175.513,14,2100,150.597,2.138,0.31,332,10880,33.335,0.963,56.239
sim-15-1.4-0.01-0.3-4-1.3-0.6-1-10.rsml,1112.214,9,626,70.172,1.843,0.294,44,456,10.924,0.725,57.04
sim-15-0.6-0.01-0.6-4-1.3-0.3-4-10.rsml,126.864,3,88,29.964,0.883,0.356,4,35,9.243,0.631,52.767
sim-15-0.6-0.01-0.5-4-1.3-0.95-1-20.rsml,25100.529,10,1962,196.796,1.765,0.313,380,22935,60.875,0.932,54.999
