"","x"
"2","diam_max"
"3","diam_mean"
"4","diam_mode"
"5","length"
"6","area"
"7","width"
"8","depth"
"9","width_depth_ratio"
"10","com_x"
"11","com_x.1"
"12","ellips_025"
"13","ellips_050"
"14","ellips_075"
"15","ellips_100"
"16","rect_020"
"17","rect_040"
"18","rect_060"
"19","rect_080"
"20","directionality"
"21","tip_count"
"22","cross_hori_0_mean"
"23","cross_hori_0_max"
"24","cross_hori_1_mean"
"25","cross_hori_1_max"
"26","cross_hori_2_mean"
"27","cross_hori_2_max"
"28","cross_hori_3_mean"
"29","cross_hori_3_max"
"30","cross_vert_mean"
"31","cross_vert_max"
"32","coord_x0"
"33","coord_x1"
"34","coord_x2"
"35","coord_x3"
"36","coord_x4"
"37","coord_x5"
"38","coord_x6"
"39","coord_x7"
"40","coord_x8"
"41","coord_x9"
