"","image","diam_max","diam_mean","diam_mode","length","area","width","depth","width_depth_ratio","com_x","com_x.1","ellips_025","ellips_050","ellips_075","ellips_100","rect_020","rect_040","rect_060","rect_080","directionality","tip_count","cross_hori_0_mean","cross_hori_0_max","cross_hori_1_mean","cross_hori_1_max","cross_hori_2_mean","cross_hori_2_max","cross_hori_3_mean","cross_hori_3_max","cross_vert_mean","cross_vert_max","coord_x0","coord_x1","coord_x2","coord_x3","coord_x4","coord_x5","coord_x6","coord_x7","coord_x8","coord_x9"
"1","sim-15-1-0.01-0.2-5-1.3-0.05-1-20",0.508,0.1530017,0.08466667,47578.094,1563.37,35.052,62.65333,0.55945945,0.59275097,0.37546477,0.114974275,0.33457893,0.25702682,0.13214189,0.264013,0.24365015,0.07327376,0.07332792,14.132486,11,431.88406,800,386.0215,600,252.68817,300,108.60215,300,515.0754,12100,0.6642512,0.5024155,0.23671497,0.6763285,0.6714976,0.6932367,0.6980676,0.70772946,0.8937198,0.81884056
"2","sim-15-1-0.01-0.2-5-1.3-0.05-2-20",0.33866668,0.18661736,0.08466667,43332.906,1342.644,32.850666,57.234665,0.5739645,0.49949473,0.3599125,0.1900618,0.29801992,0.2550763,0.15846892,0.33818892,0.17398159,0.06961786,0.07188801,12.400593,20,474.57626,1100,532.94116,700,222.35294,300,100,100,568.5083,5500,0.43041238,0.28350514,0.11340206,0.57216495,0.5051546,0.52835053,0.5927835,0.9510309,0.72680414,0.5902062
"3","sim-15-1-0.01-0.2-5-1.3-0.05-4-20",0.5926667,0.16712189,0.08466667,49411.13,1639.9087,36.914665,62.822666,0.58760107,0.69058347,0.3511183,0.28669524,0.24513398,0.20920026,0.11218958,0.35587794,0.1720791,0.13733286,0.096287884,7.6878,14,634.32837,1200,441.9355,600,220.43011,300,120.43011,200,543.60187,6600,0.64908254,0.3853211,0.016055046,0.82568806,0.8646789,0.8853211,0.8463303,0.82798165,0.8853211,0.896789
"4","sim-15-1-0.01-0.2-5-1.3-0.05-5-20",0.42333332,0.20903726,0.08466667,48277.44,1368.4673,37.168667,57.319332,0.64844906,0.45256767,0.34906352,0.24450907,0.19668378,0.22836107,0.2215554,0.3471509,0.16649137,0.06966528,0.06960341,13.75205,11,500,1100,488.2353,700,220,400,100,100,488.51675,10200,0.33485195,0.15717539,0,0.3690205,0.3189066,0.33712983,0.38952163,0.833713,0.6492027,0.48747152
"5","sim-15-1-0.01-0.2-5-1.3-0.07-1-20",1.016,0.2808588,0.08466667,78344.44,3423.666,46.39733,87.03733,0.5330739,0.3782152,0.34957492,0.18270396,0.2953978,0.18156639,0.2169795,0.31842124,0.16796498,0.11499369,0.07085095,8.641119,16,619.2308,2100,568.21704,1800,215.50388,400,100,100,698.0695,6400,0.24817519,0.06386861,0.3047445,0.22445256,0.124087594,0.14963503,0.25,0.899635,0.69160587,0.38868612
"6","sim-15-1-0.01-0.2-5-1.3-0.07-2-20",0.61563253,0.22994606,0.0879475,56286.402,1926.0503,68.071365,47.579597,1.430684,0.5270569,0.362472,0.29269406,0.2909589,0.20972602,0.14547946,0.35452056,0.22739726,0.11269406,0.068127856,26.612652,14,605.7692,1000,554.41174,800,325,500,110.29412,300,275.59055,5400,0.5245478,0.3901809,0.2118863,0.5258398,0.49224806,0.5103359,0.54392767,0.997416,0.81136954,0.66020674
"7","sim-15-1-0.01-0.2-5-1.3-0.07-4-20",0.50926995,0.17922656,0.084878325,54322.13,1915.1097,63.658745,45.66454,1.394052,0.47488984,0.35294282,0.24021628,0.31095156,0.20165758,0.19359128,0.3748172,0.16855028,0.08039711,0.06111776,32.55147,30,842.3077,1600,540.2985,800,285.07462,400,100,100,303.8781,7200,0.412,0.244,0.06533334,0.36933333,0.28666666,0.304,0.38933334,0.8986667,0.7213333,0.504
"8","sim-15-1-0.01-0.2-5-1.3-0.07-5-20",0.5926667,0.19858694,0.08466667,84570.484,3669.284,51.138668,87.291336,0.585839,0.45708972,0.3471059,0.24811943,0.29613733,0.22656791,0.19052564,0.37770548,0.17386588,0.06578522,0.06613134,12.9304905,22,802.88464,2600,591.47284,1100,241.86046,400,101.550385,200,681.0997,6600,0.40066224,0.21192053,0.029801324,0.56953645,0.6357616,0.6572848,0.5927152,0.9950331,0.74172187,0.5033113
"9","sim-15-1-0.01-0.2-5-1.3-0.09-1-20",0.9313333,0.2727968,0.08466667,127787.4,7116.6567,60.028667,121.835335,0.49270326,0.5236236,0.34532768,0.25181133,0.3005532,0.19915532,0.16158468,0.36675987,0.18483137,0.07669978,0.058723453,8.713603,33,986.36365,3000,747.7778,10000,232.77777,700,117.77778,200,1044.4445,12100,0.5684062,0.26657262,0.08180536,0.0028208746,0.52045137,0.54442877,0.54442877,0.9379408,0.7827927,0.6699577
"10","sim-15-1-0.01-0.2-5-1.3-0.09-2-20",1.1853334,0.3133165,0.08466667,114513.695,6058.916,58.42,117.77133,0.496046,0.6519706,0.34768435,0.18231744,0.3567536,0.24078421,0.1267712,0.35135967,0.21539365,0.120399095,0.09295436,14.209261,31,977.7027,5100,648.2759,2700,244.82759,600,104.5977,200,958.1818,14500,0.70289856,0.27101448,0.046376813,0.7695652,0.8028985,0.82608694,0.79275364,0.84347826,0.87826085,0.81884056
