 ,image,tot_root_length,n_primary,tot_prim_length,mean_prim_length,mean_prim_diameter,mean_lat_density,n_laterals,tot_lat_length,mean_lat_length,mean_lat_diameter,mean_lat_angle
1,sim-16-2.5-0.025-0.4-6-1.2-0.2-2-10.rsml,360.717,15,313,21.434,0.57,0.433,7,36,5.602,0.29,70.904
2,sim-16-2.5-0.01-0.4-6-1-0.4-3-10.rsml,1168.259,17,782,46.496,1.136,0.244,35,359,10.795,0.531,48.921
3,sim-16-4-0.01-0.2-6-1-0.2-1-20.rsml,15904.594,40,5842,146.572,2.107,0.214,556,9757,18.061,0.552,45.035
4,sim-10-4-0.025-0.2-4-0.8-0.2-5-10.rsml,358.7,24,346,14.946,0.588,0,0,0,0,0,0
5,sim-16-2.5-0.01-0.4-4-1-0.4-2-20.rsml,52837.531,40,5931,148.812,1.394,0.295,1117,46294,41.974,0.651,41.82
6,sim-16-2.5-0.025-0.3-4-1.2-0.2-3-20.rsml,18023.932,40,4012,100.736,1.944,0.317,604,13679,23.17,0.755,52.374
7,sim-16-2.5-0.04-0.3-6-1.2-0.4-2-20.rsml,42222.785,40,7294,182.913,1.981,0.197,864,34459,40.401,0.714,43.481
8,sim-10-2.5-0.04-0.4-6-1-0.3-2-10.rsml,424.689,15,371,25.33,0.947,0.362,7,41,6.391,0.45,37.94
9,sim-10-1-0.04-0.2-4-1.2-0.2-2-20.rsml,2287.638,16,1043,65.757,1.975,0.306,107,1188,11.547,0.582,50.61
10,sim-16-4-0.04-0.4-4-0.8-0.2-1-20.rsml,36682.52,40,5615,140.903,1.53,0.298,927,30549,33.491,0.706,27.64
11,sim-16-4-0.01-0.2-4-0.8-0.4-5-10.rsml,1942.807,28,1354,48.885,1.172,0.382,76,537,7.553,0.319,35.705
12,sim-10-1-0.04-0.4-4-1.2-0.3-1-10.rsml,182.821,6,143,24.478,0.904,0.493,6,34,5.992,0.439,56.887
13,sim-16-4-0.01-0.2-6-0.8-0.2-2-10.rsml,594.784,24,584,24.783,0.636,0,0,0,0,0,0
14,sim-16-2.5-0.01-0.2-4-1.2-0.4-5-20.rsml,41419.023,40,7816,195.904,2.322,0.291,1220,32964,27.527,0.586,53.323
15,sim-16-2.5-0.01-0.2-6-0.8-0.2-4-20.rsml,10524.248,40,4014,100.892,1.961,0.212,331,6321,19.603,0.555,33.529
16,sim-16-1-0.04-0.2-4-1.2-0.3-3-20.rsml,12087.912,17,2591,152.877,2.936,0.286,370,9301,25.646,0.78,47.1
17,sim-10-4-0.01-0.3-4-0.8-0.3-2-20.rsml,26325.346,40,5551,139.319,2.2,0.294,826,20333,25.124,0.756,32.284
18,sim-16-4-0.01-0.3-4-1-0.3-4-20.rsml,54376,40,8162,204.527,1.788,0.291,1468,45419,31.468,0.618,41.957
19,sim-10-4-0.04-0.4-4-0.8-0.4-5-10.rsml,1260.537,28,839,30.423,1.145,0.433,45,387,9.082,0.541,32.126
20,sim-10-1-0.025-0.2-6-1.2-0.3-5-20.rsml,3793.438,16,1568,98.476,2.904,0.232,132,2152,16.802,0.789,51.009
21,sim-16-2.5-0.01-0.2-6-1-0.3-4-20.rsml,21686.725,40,6248,156.785,2.152,0.209,622,15088,24.783,0.566,43.292
22,sim-16-4-0.025-0.2-4-1.2-0.4-2-10.rsml,1929.927,28,1449,52.292,1.242,0.347,70,432,6.654,0.331,51.364
23,sim-16-4-0.025-0.2-6-1-0.3-4-10.rsml,1135.911,28,991,35.913,0.888,0.29,21,119,6.207,0.269,52.373
24,sim-16-1-0.04-0.2-6-1-0.3-1-10.rsml,265.183,7,238,34.413,0.847,0.234,4,22,6.073,0.261,28.959
25,sim-16-2.5-0.01-0.4-4-1.2-0.2-5-20.rsml,23774.121,40,4010,100.797,1.451,0.343,665,19397,29.688,0.715,57.158
26,sim-10-1-0.04-0.4-4-1.2-0.2-4-10.rsml,94.749,6,86,14.969,0.58,0,1,4,4.932,0.333,42.255
27,sim-10-4-0.025-0.2-4-1.2-0.3-1-10.rsml,581.903,24,554,23.548,0.909,0,4,15,4.188,0.286,45.116
28,sim-16-1-0.025-0.3-4-0.8-0.3-2-20.rsml,19248.457,17,2605,153.778,2.585,0.318,420,16404,39.605,0.955,28.967
29,sim-10-1-0.025-0.4-6-1-0.4-1-20.rsml,11725.312,16,2105,132.241,2.964,0.223,231,9484,41.599,1.387,35.652
30,sim-16-1-0.01-0.4-6-0.8-0.2-3-20.rsml,7043.195,16,1552,97.552,1.907,0.24,169,5395,32.44,0.95,31.522
31,sim-10-4-0.025-0.2-4-1-0.2-3-10.rsml,352.051,24,342,14.669,0.605,0,0,0,0,0,0
32,sim-16-4-0.04-0.3-6-1.2-0.2-3-20.rsml,19314.773,40,5786,145.115,2.036,0.199,553,13225,24.431,0.738,48.051
33,sim-10-2.5-0.01-0.4-4-1-0.2-5-20.rsml,9523.706,40,2510,63.274,1.994,0.321,343,6803,20.387,1.003,44.465
34,sim-16-1-0.04-0.3-6-1-0.4-5-10.rsml,539.056,7,366,52.937,1.21,0.277,15,159,11.233,0.456,41.671
35,sim-10-2.5-0.04-0.4-6-0.8-0.3-4-20.rsml,16356.154,40,3838,96.436,2.109,0.22,388,12288,32.213,1.018,25.757
