image,tot_root_length,n_primary,tot_prim_length,mean_prim_length,mean_prim_diameter,mean_lat_density,n_laterals, tot_lat_length,mean_lat_length,mean_lat_diameter,mean_lat_angle
monocot_2D_-10-1-0.1-0.001-0.3-3-0-1-10-r1-12.rsml,60.781017,9,39.0,5.0122347,0.09013923,2.4217534,23,4.0,0.681344,0.026615009,53.63985
monocot_2D_-10-1-0.1-0.001-0.3-3-0-1-15-r1-12.rsml,70.54557,9,42.0,5.306954,0.09428744,2.6300418,35,4.0,0.6509426,0.027463974,52.816235
monocot_2D_-10-1-0.1-0.001-0.3-3-0-1-20-r1-12.rsml,79.93219,9,43.0,5.3560143,0.09579774,3.2663689,45,7.0,0.70506805,0.027819622,53.318104
monocot_2D_-10-1-0.1-0.001-0.3-3-0-1-25-r1-12.rsml,74.77275,9,41.0,5.233271,0.09423404,3.1298196,45,4.0,0.61496305,0.027497876,45.909664
monocot_2D_-10-1-0.1-0.001-0.3-3-0-1-5-r1-12.rsml,58.559296,9,45.0,5.4759703,0.09774598,2.5564806,16,0.0,0.5797222,0.028632453,49.10821
monocot_2D_-10-1-0.1-0.001-0.3-3-0-1.2-10-r1-12.rsml,87.55444,10,52.0,5.9847603,0.11473689,2.8130329,41,4.0,0.67577696,0.033287603,49.566242
monocot_2D_-10-1-0.1-0.001-0.3-3-0-1.2-15-r1-12.rsml,95.92045,10,49.0,5.6642823,0.10914296,3.3590977,51,12.0,0.77014935,0.03177416,51.409805
monocot_2D_-10-1-0.1-0.001-0.3-3-0-1.2-20-r1-12.rsml,117.422966,10,55.0,6.224558,0.119697906,3.9813585,65,16.0,0.84888273,0.034726907,52.486214
monocot_2D_-10-1-0.1-0.001-0.3-3-0-1.2-25-r1-12.rsml,102.859985,10,49.0,5.6686187,0.10854558,3.8037035,63,13.0,0.7329175,0.03173945,50.215378
monocot_2D_-10-1-0.1-0.001-0.3-3-0-1.2-5-r1-12.rsml,77.35507,10,53.0,6.074553,0.11664227,2.7771292,26,1.0,0.63882816,0.033882182,52.082012
monocot_2D_-10-1-0.1-0.001-0.3-3-0-1.4-10-r1-12.rsml,122.40253,10,63.0,7.1115212,0.13579603,2.746684,58,21.0,0.88426393,0.03930983,51.181774
monocot_2D_-10-1-0.1-0.001-0.3-3-0-1.4-15-r1-12.rsml,140.29744,10,64.0,7.1636434,0.13678199,3.3105457,72,28.0,0.95362514,0.03948489,49.920807
monocot_2D_-10-1-0.1-0.001-0.3-3-0-1.4-20-r1-12.rsml,158.07928,10,65.0,7.218576,0.13823016,3.7888267,85,41.0,1.0105119,0.03995813,48.10394
monocot_2D_-10-1-0.1-0.001-0.3-3-0-1.4-25-r1-12.rsml,133.32971,10,61.0,6.7527833,0.12965618,3.1363235,66,28.0,0.99699855,0.037563924,53.03378
monocot_2D_-10-1-0.1-0.001-0.3-3-0-1.4-5-r1-12.rsml,86.832886,10,61.0,6.811096,0.13036606,2.1632009,25,4.0,0.74887687,0.037552737,51.573574
monocot_2D_-10-1-0.1-0.001-0.3-4-0-1-10-r1-12.rsml,52.48854,9,39.0,5.0140676,0.09023735,1.8615057,12,1.0,0.61349416,0.026428688,57.529682
monocot_2D_-10-1-0.1-0.001-0.3-4-0-1-15-r1-12.rsml,73.43234,9,42.0,5.304402,0.09496885,2.8393662,33,8.0,0.77856743,0.02771359,55.332
monocot_2D_-10-1-0.1-0.001-0.3-4-0-1-20-r1-12.rsml,69.969604,9,40.0,5.2064376,0.09284908,2.6230159,33,6.0,0.7003536,0.027044194,54.45909
monocot_2D_-10-1-0.1-0.001-0.3-4-0-1-25-r1-12.rsml,72.52275,9,41.0,5.25872,0.09313162,2.9680774,35,6.0,0.7198367,0.027355948,50.846233
monocot_2D_-10-1-0.1-0.001-0.3-4-0-1-5-r1-12.rsml,51.038895,9,40.0,5.1710477,0.09163508,3.3923383,7,1.0,0.6427815,0.02690523,55.3724
monocot_2D_-10-1-0.1-0.001-0.3-4-0-1.2-10-r1-12.rsml,87.60786,10,55.0,6.193442,0.118190974,2.8167198,37,6.0,0.6938768,0.03423842,48.30434
monocot_2D_-10-1-0.1-0.001-0.3-4-0-1.2-15-r1-12.rsml,105.49833,10,55.0,6.2029157,0.11901778,3.3682034,52,14.0,0.83594555,0.034364387,56.76191
monocot_2D_-10-1-0.1-0.001-0.3-4-0-1.2-20-r1-12.rsml,95.97966,10,53.0,6.062622,0.11803098,2.9460907,44,11.0,0.8034873,0.034116015,50.823975
monocot_2D_-10-1-0.1-0.001-0.3-4-0-1.2-25-r1-12.rsml,92.99189,10,50.0,5.6984005,0.1098685,3.1328602,46,7.0,0.78278077,0.032016464,53.140232
monocot_2D_-10-1-0.1-0.001-0.3-4-0-1.2-5-r1-12.rsml,80.443985,10,55.0,6.2285986,0.11991386,1.5810599,23,6.0,0.7894781,0.034911714,54.64768
monocot_2D_-10-1-0.1-0.001-0.3-4-0-1.4-10-r1-12.rsml,110.978264,10,65.0,7.2095623,0.1387163,2.7362335,42,14.0,0.92577654,0.040096723,51.815372
monocot_2D_-10-1-0.1-0.001-0.3-4-0-1.4-15-r1-12.rsml,108.90781,10,60.0,6.692063,0.12683052,2.7680728,47,19.0,0.89334464,0.036811657,48.95769
monocot_2D_-10-1-0.1-0.001-0.3-4-0-1.4-20-r1-12.rsml,125.3833,10,65.0,7.2057896,0.13718994,2.354896,52,24.0,1.0254879,0.039633203,47.07454
monocot_2D_-10-1-0.1-0.001-0.3-4-0-1.4-25-r1-12.rsml,137.88988,10,63.0,7.1077733,0.13535912,3.193475,64,31.0,1.0439396,0.039246384,53.772068
monocot_2D_-10-1-0.1-0.001-0.3-4-0-1.4-5-r1-12.rsml,86.8168,10,63.0,6.9479103,0.13342033,1.5947058,22,4.0,0.78807753,0.038532272,53.920776
monocot_2D_-10-1-0.1-0.001-0.3-5-0-1-10-r1-12.rsml,60.81209,9,44.0,5.398368,0.096370675,1.7441341,19,3.0,0.6435146,0.02812776,53.503876
monocot_2D_-10-1-0.1-0.001-0.3-5-0-1-15-r1-12.rsml,65.13921,9,44.0,5.3973827,0.09592894,2.5064812,24,3.0,0.69011575,0.02810563,54.75439
monocot_2D_-10-1-0.1-0.001-0.3-5-0-1-20-r1-12.rsml,62.786865,9,41.0,5.202333,0.09401903,2.473702,26,3.0,0.6140718,0.027411172,53.106464
monocot_2D_-10-1-0.1-0.001-0.3-5-0-1-25-r1-12.rsml,73.18146,9,45.0,5.465509,0.0995619,2.3290203,31,7.0,0.7739317,0.029000139,55.104336
monocot_2D_-10-1-0.1-0.001-0.3-5-0-1-5-r1-12.rsml,53.29968,9,44.0,5.4223948,0.09614338,1.3716698,8,0.0,0.56226563,0.028115958,57.88512
monocot_2D_-10-1-0.1-0.001-0.3-5-0-1.2-10-r1-12.rsml,77.88495,10,52.0,5.9210453,0.1146824,1.7553828,28,3.0,0.6669465,0.033382215,49.04197
monocot_2D_-10-1-0.1-0.001-0.3-5-0-1.2-15-r1-12.rsml,81.45283,10,52.0,6.0084352,0.115779735,1.7009695,29,5.0,0.7368443,0.033727035,54.231495
monocot_2D_-10-1-0.1-0.001-0.3-5-0-1.2-20-r1-12.rsml,86.7416,10,53.0,6.045293,0.11765299,1.9197012,33,5.0,0.7966267,0.03392467,51.807755
monocot_2D_-10-1-0.1-0.001-0.3-5-0-1.2-25-r1-12.rsml,92.87633,10,55.0,6.2089534,0.119697146,2.0882492,35,9.0,0.87962294,0.034636434,55.355915
monocot_2D_-10-1-0.1-0.001-0.3-5-0-1.2-5-r1-12.rsml,64.12587,10,49.0,5.672801,0.108782,1.8239142,12,0.0,0.616488,0.03190436,49.450607
monocot_2D_-10-1-0.1-0.001-0.3-5-0-1.4-10-r1-12.rsml,102.71494,10,63.0,7.112631,0.13506755,2.2934692,37,11.0,0.85374695,0.03914108,43.589306
monocot_2D_-10-1-0.1-0.001-0.3-5-0-1.4-15-r1-12.rsml,100.00708,10,60.0,6.7045784,0.12706225,2.1666188,37,12.0,0.890846,0.03684552,50.13305
monocot_2D_-10-1-0.1-0.001-0.3-5-0-1.4-20-r1-12.rsml,104.548676,10,61.0,6.803079,0.13123403,1.9496883,42,16.0,0.86947304,0.037817355,41.859024
monocot_2D_-10-1-0.1-0.001-0.3-5-0-1.4-25-r1-12.rsml,122.263176,10,66.0,7.299815,0.13966563,2.5305214,46,21.0,1.070978,0.040354934,50.53764
monocot_2D_-10-1-0.1-0.001-0.3-5-0-1.4-5-r1-12.rsml,82.60226,10,63.0,6.966931,0.13278021,1.3286518,15,3.0,0.86219704,0.038649995,44.695805
monocot_2D_-10-1-0.1-0.001-0.4-3-0-1-10-r1-12.rsml,79.913086,9,40.0,5.187564,0.0926538,2.687018,39,10.0,0.85192347,0.035647523,51.8713
monocot_2D_-10-1-0.1-0.001-0.4-3-0-1-15-r1-12.rsml,81.15086,9,40.0,5.175167,0.09164504,3.3272853,47,10.0,0.7356246,0.03515433,48.539738
monocot_2D_-10-1-0.1-0.001-0.4-3-0-1-20-r1-12.rsml,89.84809,9,45.0,5.467677,0.0979843,3.3420634,47,15.0,0.8646597,0.037604827,49.046616
monocot_2D_-10-1-0.1-0.001-0.4-3-0-1-25-r1-12.rsml,93.585556,9,43.0,5.337407,0.09568615,4.033689,54,21.0,0.843498,0.036698207,46.393547
monocot_2D_-10-1-0.1-0.001-0.4-3-0-1-5-r1-12.rsml,65.403404,9,44.0,5.4247093,0.096026264,2.5414898,23,3.0,0.72091407,0.036804475,53.848976
monocot_2D_-10-1-0.1-0.001-0.4-3-0-1.2-10-r1-12.rsml,115.13961,10,55.0,6.191241,0.11874086,3.7798758,55,21.0,0.96776736,0.045398757,45.763126
monocot_2D_-10-1-0.1-0.001-0.4-3-0-1.2-15-r1-12.rsml,111.77413,10,55.0,6.2121363,0.118813634,2.9955332,47,22.0,1.0564421,0.04539496,48.647346
monocot_2D_-10-1-0.1-0.001-0.4-3-0-1.2-20-r1-12.rsml,129.98032,10,51.0,5.815044,0.11167787,3.436119,63,34.0,1.140157,0.042663768,52.65991
monocot_2D_-10-1-0.1-0.001-0.4-3-0-1.2-25-r1-12.rsml,140.43556,10,52.0,5.9900875,0.11577409,3.8885345,66,40.0,1.2202222,0.044412713,49.990532
monocot_2D_-10-1-0.1-0.001-0.4-3-0-1.2-5-r1-12.rsml,90.334465,10,55.0,6.210987,0.11878854,2.5793421,36,5.0,0.7840165,0.045270007,45.928665
monocot_2D_-10-1-0.1-0.001-0.4-3-0-1.4-10-r1-12.rsml,122.818855,10,60.0,6.71577,0.12737341,2.799723,60,22.0,0.92768604,0.04879141,41.093365
monocot_2D_-10-1-0.1-0.001-0.4-3-0-1.4-15-r1-12.rsml,145.23738,10,60.0,6.7179904,0.12840955,3.0551996,67,36.0,1.1650369,0.04912501,47.893578
monocot_2D_-10-1-0.1-0.001-0.4-3-0-1.4-20-r1-12.rsml,152.38527,10,60.0,6.6954165,0.12906823,3.0862296,71,45.0,1.2032547,0.049379207,48.756306
monocot_2D_-10-1-0.1-0.001-0.4-3-0-1.4-25-r1-12.rsml,180.46674,10,63.0,6.9690313,0.13349815,3.1592076,89,56.0,1.2446793,0.051247403,47.782974
monocot_2D_-10-1-0.1-0.001-0.4-3-0-1.4-5-r1-12.rsml,108.45085,10,63.0,6.96703,0.13398592,1.6980594,40,12.0,0.96951413,0.05171906,49.294758
monocot_2D_-10-1-0.1-0.001-0.4-4-0-1-10-r1-12.rsml,68.00859,9,43.0,5.3527207,0.09553628,2.932063,23,5.0,0.86235243,0.036807664,51.382973
monocot_2D_-10-1-0.1-0.001-0.4-4-0-1-15-r1-12.rsml,69.48137,9,39.0,5.0842695,0.090651795,2.3749385,27,10.0,0.8786279,0.034856327,49.936478
monocot_2D_-10-1-0.1-0.001-0.4-4-0-1-20-r1-12.rsml,81.317726,9,41.0,5.2442036,0.09364083,2.8014343,37,16.0,0.92215914,0.035838712,46.4369
monocot_2D_-10-1-0.1-0.001-0.4-4-0-1-25-r1-12.rsml,93.04343,9,44.0,5.393876,0.09620541,3.0499501,44,22.0,1.0113308,0.03698759,52.976257
monocot_2D_-10-1-0.1-0.001-0.4-4-0-1-5-r1-12.rsml,58.537033,9,41.0,5.2509646,0.09332385,1.2947994,14,3.0,0.80559635,0.035678826,53.226795
monocot_2D_-10-1-0.1-0.001-0.4-4-0-1.2-10-r1-12.rsml,103.83904,10,52.0,6.0210876,0.11628223,2.1255095,39,20.0,1.1186706,0.04423587,52.085102
monocot_2D_-10-1-0.1-0.001-0.4-4-0-1.2-15-r1-12.rsml,100.56484,10,49.0,5.634181,0.109648354,2.8714247,40,22.0,1.1055759,0.041992508,50.129868
monocot_2D_-10-1-0.1-0.001-0.4-4-0-1.2-20-r1-12.rsml,112.914665,10,52.0,5.9778047,0.11432972,3.0642385,49,23.0,1.0844204,0.043615017,47.943615
monocot_2D_-10-1-0.1-0.001-0.4-4-0-1.2-25-r1-12.rsml,113.779594,10,49.0,5.685869,0.10899699,2.8650029,45,32.0,1.2649089,0.041844435,51.39012
monocot_2D_-10-1-0.1-0.001-0.4-4-0-1.2-5-r1-12.rsml,73.8155,10,51.0,5.873037,0.11290364,1.3195256,18,3.0,0.83806324,0.043641012,41.185318
monocot_2D_-10-1-0.1-0.001-0.4-4-0-1.4-10-r1-12.rsml,105.11837,10,60.0,6.70565,0.12776487,2.2898283,35,17.0,1.0874821,0.048676535,48.075676
monocot_2D_-10-1-0.1-0.001-0.4-4-0-1.4-15-r1-12.rsml,166.58823,10,66.0,7.2528152,0.13977669,2.4331322,72,53.0,1.30639,0.053812455,48.414463
monocot_2D_-10-1-0.1-0.001-0.4-4-0-1.4-20-r1-12.rsml,160.85384,10,65.0,7.214894,0.1376983,2.6995213,71,47.0,1.249365,0.05250005,49.759583
monocot_2D_-10-1-0.1-0.001-0.4-4-0-1.4-25-r1-12.rsml,152.32211,10,63.0,6.9766726,0.13414603,2.4520538,64,43.0,1.2899281,0.051463723,51.597786
monocot_2D_-10-1-0.1-0.001-0.4-4-0-1.4-5-r1-12.rsml,82.84467,10,60.0,6.6935353,0.12870733,1.6710246,17,6.0,0.9358421,0.049297266,50.242832
monocot_2D_-10-1-0.1-0.001-0.4-5-0-1-10-r1-12.rsml,64.03613,9,45.0,5.4677706,0.09941028,2.0456321,21,2.0,0.7060095,0.038381845,42.626057
monocot_2D_-10-1-0.1-0.001-0.4-5-0-1-15-r1-12.rsml,68.58799,9,43.0,5.3572273,0.095349886,1.9954885,24,8.0,0.8488721,0.037013177,50.7153
monocot_2D_-10-1-0.1-0.001-0.4-5-0-1-20-r1-12.rsml,71.11721,9,45.0,5.4701667,0.09862685,1.9463726,26,6.0,0.8417583,0.038176604,48.007095
monocot_2D_-10-1-0.1-0.001-0.4-5-0-1-25-r1-12.rsml,72.63006,9,42.0,5.308811,0.09435666,2.105101,26,9.0,0.95579886,0.03659356,51.434685
monocot_2D_-10-1-0.1-0.001-0.4-5-0-1-5-r1-12.rsml,56.55095,9,42.0,5.3006635,0.09440009,2.1637673,11,3.0,0.8040894,0.036543187,58.41773
monocot_2D_-10-1-0.1-0.001-0.4-5-0-1.2-10-r1-12.rsml,84.55309,10,50.0,5.725229,0.11020233,2.2585418,29,10.0,0.9414066,0.04229997,50.532917
monocot_2D_-10-1-0.1-0.001-0.4-5-0-1.2-15-r1-12.rsml,97.955605,10,52.0,5.9740553,0.114978015,2.389578,33,18.0,1.158032,0.044028953,50.649517
monocot_2D_-10-1-0.1-0.001-0.4-5-0-1.2-20-r1-12.rsml,93.93362,10,51.0,5.8674784,0.113834836,2.6294034,32,16.0,1.1018386,0.04371216,51.216927
monocot_2D_-10-1-0.1-0.001-0.4-5-0-1.2-25-r1-12.rsml,89.46557,10,49.0,5.678015,0.108980164,2.3485405,33,14.0,0.9904672,0.041741617,43.997173
monocot_2D_-10-1-0.1-0.001-0.4-5-0-1.2-5-r1-12.rsml,76.17028,10,55.0,6.214649,0.1199087,1.8216269,18,1.0,0.7791005,0.046161335,52.68563
monocot_2D_-10-1-0.1-0.001-0.4-5-0-1.4-10-r1-12.rsml,111.57506,10,63.0,6.954318,0.134341,2.3530617,42,16.0,1.000759,0.05140918,46.971817
monocot_2D_-10-1-0.1-0.001-0.4-5-0-1.4-15-r1-12.rsml,118.44899,10,62.0,6.923623,0.13159071,2.2617178,41,25.0,1.2003117,0.050738666,49.689568
monocot_2D_-10-1-0.1-0.001-0.4-5-0-1.4-20-r1-12.rsml,161.49188,10,65.0,7.1817937,0.13852525,2.1510916,63,50.0,1.4233956,0.052801512,48.65522
monocot_2D_-10-1-0.1-0.001-0.4-5-0-1.4-25-r1-12.rsml,129.4901,10,62.0,6.90918,0.13229649,1.8546487,49,30.0,1.2326185,0.050733797,47.80802
monocot_2D_-10-1-0.1-0.001-0.4-5-0-1.4-5-r1-12.rsml,91.79264,10,63.0,6.969632,0.13424315,1.5509079,25,7.0,0.8838526,0.051662914,39.024067
monocot_2D_-10-1-0.1-0.001-0.5-3-0-1-10-r1-12.rsml,86.27898,9,45.0,5.460546,0.09650976,2.4592757,35,16.0,1.0609733,0.04583647,51.891586
monocot_2D_-10-1-0.1-0.001-0.5-3-0-1-15-r1-12.rsml,95.33195,9,39.0,5.015992,0.090142705,3.6859028,44,26.0,1.1406372,0.04329081,53.420315
monocot_2D_-10-1-0.1-0.001-0.5-3-0-1-20-r1-12.rsml,96.578995,9,40.0,5.1882,0.0922601,3.5844238,48,24.0,1.0392748,0.04392997,47.945877
monocot_2D_-10-1-0.1-0.001-0.5-3-0-1-25-r1-12.rsml,93.27077,9,39.0,5.0705595,0.09051897,3.3598971,45,24.0,1.0585712,0.043551333,46.248802
