;image;Rep;Is; areaTotal; width; depth; ratio w/d; CoM X; CoM Y; Densell1; Densell2; Densell3; Densell4; DensRect1; DensRect2; DensRect3; Directionality; LengthBlancs1; LengthBlancs2; nTips; meanhor4; maxhor4; meanhor3; maxhor3; meanhor2; maxhor2; meanhor1; maxhor1; meanvert; maxvert; number; numberdensity; X1;X2;X3;X4;X5;X6;X7;X8;X9;X10; areaPrim; width; depth; ratio w/d; CoM X; CoM Y; Densell1; Densell2; Densell3; Densell4; DensRect1; DensRect2; DensRect3; Directionality; LengthBlancs1; LengthBlancs2; nTips; meanhor4; maxhor4; meanhor3; maxhor3; meanhor2; maxhor2; meanhor1; maxhor1; meanvert; maxvert; number; numberdensity; X1;X2;X3;X4;X5;X6;X7;X8;X9;X10; areaLat; width; depth; ratio w/d; CoM X; CoM Y; Densell1; Densell2; Densell3; Densell4; DensRect1; DensRect2; DensRect3; Directionality; LengthBlancs1; LengthBlancs2; nTips; meanhor4; maxhor4; meanhor3; maxhor3; meanhor2; maxhor2; meanhor1; maxhor1; meanvert; maxvert; number; numberdensity; X1;X2;X3;X4;X5;X6;X7;X8;X9;X10; EDMmax; LatDiam
1;sim-0.05-0.2-10-0.3-2-0.5-0.6-20 ;1;Test;4254;197;437;0.45080093;0.5531217;0.41683906;0.23194444;0.0880943;0.043692775;0.031939782;5918.7817;4309.6445;1751.269;9.628238;58.24402;140.98543;164;5.2771087;9;4.9439254;10;2.317757;5;1;1;7.8538013;64;168;0.38443935;65;21;1;80;85;17;123;168;117;3;539;194;396;0.48989898;0.43876117;0.42082936;0.029095676;0.009223946;0.006219692;0.006501325;726.80414;463.9175;77.31959;11.599785;110.46266;220.48357;251;2.0227273;5;1.7619047;4;1.5769231;3;1.1470588;2;2.7688172;29;226;0.5707071;66;24;1;185;84;11;99;159;1;1;391;104;214;0.48598132;0.76090646;0.4704269;0.032846715;0.026927784;0.025463805;0.01246392;490.3846;653.8461;548.0769;33.47346;59.933296;118.966385;177;1.9722222;4;1.8444444;4;1.7073171;3;1.5128205;4;4.806452;26;197;0.9205608;19;11;15;39;19;30;80;31;8;2;7;2
6;sim-0.05-0.2-10-0.3-2-0.5-0.8-20 ;1;Test;7434;86;607;0.14168039;0.6906498;0.4133628;0.4730243;0.2939101;0.1802397;0.08520483;23151.162;16988.373;13860.465;2.340567;23.703684;83.601425;181;5.44;11;5.0733333;8;3.2162163;7;1.3355263;2;33.93651;132;185;0.3047776;29;2;4;32;39;22;70;53;22;5;808;55;600;0.09166667;0.6599685;0.39745253;0.041062802;0.024596775;0.036996603;0.0174482;2654.5454;1254.5454;1018.1818;6.9163094;150.65192;301.30383;201;2.08;5;2.06993;4;1.3495146;3;1.0851064;2;14.433962;80;130;0.21666667;0;16;37;0;40;55;27;17;55;1;672;69;339;0.20353982;0.6761991;0.46133584;0.08569051;0.066954024;0.03226369;0.015077271;2217.3914;1884.058;2260.8696;34.031876;86.88498;173.56555;307;2.6949153;6;2.25;7;2.014706;5;1.4861112;4;11.938775;40;336;0.99115044;18;22;8;28;40;19;42;38;8;1;11;3
11;sim-0.05-0.2-10-0.3-2-0.5-1-20 ;1;Test;15050;141;773;0.18240622;0.4898975;0.3949225;0.3967589;0.32709873;0.16384053;0.06988554;29879.434;21560.283;15319.149;4.026626;50.027554;51.826027;48;11.373494;24;8.581152;20;3.565445;10;1.359375;2;34.396946;152;1;0.001293661;45;11;29;40;43;33;100;105;13;5;1059;117;765;0.15294118;0.5354875;0.33896884;0.033259913;0.018007113;0.01587374;0.005774815;2495.7266;1735.0427;1025.641;6.5950484;194.32962;387.51773;359;2.5647058;9;1.7894737;7;1.3495146;5;1.0266666;2;9.851064;54;260;0.3398693;34;38;0;0;24;17;49;117;117;1;1133;119;478;0.24895397;0.49826443;0.3954187;0.043140028;0.043462813;0.025457382;0.012070037;1655.4622;2403.3613;1285.7142;42.478077;123.69317;246.41632;546;3.6404495;7;3.9491525;10;2.1627908;5;1.3411765;4;9.666667;31;722;1.5104603;37;21;19;31;34;46;85;4;31;3;14;1
16;sim-0.05-0.2-10-0.3-2-1-0.6-20 ;1;Test;3925;98;440;0.22272727;0.5862407;0.43447566;0.40315107;0.18150142;0.091044776;0.05717397;9367.347;10204.082;4806.1226;2.8985093;30.365915;106.23768;138;4.702381;10;4.611111;7;2.3425925;4;1.3981482;2;16.4125;59;127;0.28863636;39;16;17;10;53;12;53;69;49;4;511;79;436;0.18119267;0.58310837;0.39899504;0.05116279;0.02784268;0.01784881;0.008831933;1556.962;1341.7721;493.6709;8.884989;110.81967;221.63934;202;1.7555555;4;1.7113402;4;1.1842105;2;1.0212766;2;7.564516;47;127;0.2912844;31;19;72;45;43;1;19;1;1;1;331;98;198;0.4949495;0.52908623;0.4623501;0.04158215;0.033227287;0.019202974;0.009600732;622.449;704.0816;612.2449;43.045227;55.9017;110.46266;186;2.235294;5;2.3404255;5;1.7560976;4;1.3714286;2;3.5454545;10;177;0.8939394;25;33;49;57;79;2;28;23;20;2;10;2
21;sim-0.05-0.2-10-0.3-2-1-0.8-20 ;1;Test;7556;130;606;0.21452145;0.54837525;0.4004485;0.25962514;0.1720906;0.12426549;0.047299813;18007.691;7361.5386;4369.231;3.5522616;28.117638;103.23884;293;7.056;15;5.08;11;1.9256756;6;1;1;17.754238;172;236;0.38943896;32;9;15;38;34;58;104;108;91;4;778;112;569;0.19683656;0.5681693;0.39837626;0.021256344;0.01533873;0.01745078;0.007815356;1687.5;616.0714;526.7857;5.8356934;145.71547;290.44965;241;2.1;5;1.6513761;4;1.127451;2;1;1;7.4367814;88;141;0.24780317;29;24;1;23;20;11;57;102;1;1;698;134;332;0.40361446;0.4580999;0.3979442;0.047169812;0.028562654;0.018855952;0.00840507;1373.1343;865.67163;537.3134;43.42046;89.693924;179.01117;399;3.5070422;9;2.9466667;8;1.8507463;5;1.3103448;2;5.3023257;14;355;1.0692772;38;57;18;58;10;57;53;101;15;5;11;3
26;sim-0.05-0.2-10-0.3-2-1-1-20 ;1;Test;14497;152;772;0.19689119;0.5548505;0.39629233;0.5001737;0.24968204;0.15889992;0.062087774;27789.475;21611.842;13578.947;3.3450117;33.176567;87.79169;44;9.557576;18;8.157068;14;3.6282723;8;1.3664922;2;28.040817;138;1;0.001295337;58;14;34;50;62;41;113;96;89;6;1192;99;752;0.13164894;0.8545946;0.3942161;0.049242426;0.024088776;0.012023397;0.012211077;3363.6365;1383.8384;585.8586;10.869072;189.65495;379.3099;374;2.3614457;8;1.6929824;7;1.0208334;2;1;1;13.133333;82;225;0.2992021;25;21;63;14;26;18;51;26;1;1;941;150;458;0.32751092;0.50812256;0.44067797;0.036897153;0.025454907;0.019125843;0.006831768;1326.6666;1233.3334;1053.3334;42.612587;121.11565;240.96887;446;2.6931818;7;2.873874;7;2.2037036;6;1.4;4;6.4014087;18;494;1.0786027;125;10;70;57;20;2;86;31;14;4;14;1
31;sim-0.05-0.2-10-0.3-4-0.5-0.6-20 ;1;Test;3773;94;440;0.21363637;0.5806867;0.4395661;0.11829502;0.16501322;0.12979552;0.05526353;8170.213;5978.7236;3159.5745;4.488026;41.4412;44.875256;58;4;7;3.7685184;6;2.0925925;4;1;1;13.910256;79;108;0.24545455;17;15;11;35;34;15;56;70;57;4;497;91;436;0.2087156;0.45847613;0.4078023;0.012658228;0.018603077;0.017887997;0.008617373;1197.8022;505.4945;516.4835;17.45139;111.40018;222.80035;166;1.7419355;4;1.6428572;3;1.4078947;2;1.1320754;2;5.52809;34;132;0.3027523;17;15;78;36;34;12;52;1;1;1;187;64;182;0.35164836;0.5579462;0.5363313;0.018835617;0.026932085;0.020543175;0.015015015;125;609.375;515.625;20.536758;48.703182;96.462425;72;1.6666666;4;1.7894737;4;1.6896552;5;1.1304348;2;3.1666667;13;119;0.65384614;7;26;24;16;43;22;20;39;18;1;7;2
36;sim-0.05-0.2-10-0.3-4-0.5-0.8-20 ;1;Test;7050;103;605;0.17024793;0.66143364;0.41335183;0.39042416;0.19202586;0.09354755;0.10251194;18300.97;10038.835;9679.611;4.1861367;56.79591;80.082344;122;5.08;9;3.2885907;6;1.6644295;4;1;1;18.695122;92;146;0.24132231;31;6;29;21;33;24;95;69;82;5;744;99;599;0.16527545;0.45132777;0.40079793;0.049357675;0.01629328;0.009914437;0.012779885;1676.7677;1202.0201;1040.404;3.1629977;152.06906;304.13812;250;2.0697675;4;1.7916666;4;1.2892562;2;1.0697675;2;7.5;74;155;0.2587646;39;6;29;21;33;8;39;20;1;1;361;81;318;0.254717;0.63546044;0.4500383;0.026435046;0.028863816;0.018963337;0.006381766;666.6667;1049.3827;888.8889;37.353848;82.710335;164.2011;202;1.6341463;4;1.9523809;5;1.4464285;4;1.1428572;4;4.951613;17;195;0.6132075;31;23;17;25;0;6;49;35;2;2;11;3
41;sim-0.05-0.2-10-0.3-4-0.5-1-20 ;1;Test;13386;128;772;0.1658031;0.6455952;0.40464324;0.31008232;0.2201072;0.15234247;0.09658623;25664.062;16312.5;10179.6875;3.7130697;33.775433;64.88032;34;7.4638553;17;6.235602;11;2.905759;8;1.3717277;2;31.066668;155;1;0.001295337;58;7;5;26;97;31;116;104;82;5;864;121;750;0.16133334;0.5355353;0.40024537;0.025937228;0.009935011;0.011401382;0.007195892;1793.3884;710.7438;396.6942;17.617996;190.53871;195.79543;253;1.7865169;4;1.4468085;3;1.3913044;3;1.0490196;2;7.46087;81;165;0.22;63;31;30;25;96;16;1;61;1;1;925;122;728;0.16758242;0.5119052;0.2772119;0.05020261;0.023220053;0.009361934;0.003870328;2475.41;1836.0656;368.85245;34.936687;184.62123;369.07587;439;3.1689188;7;2.284768;6;1.2333333;3;1.0625;2;7.5666666;24;540;0.7417582;0;107;92;0;0;122;1;11;122;122;13;5
46;sim-0.05-0.2-10-0.3-4-1-0.6-20 ;1;Test;3777;101;440;0.22954546;0.61799926;0.43449077;0.33141592;0.14420731;0.09140969;0.059786897;9108.911;6851.4854;2841.5842;3.9332747;32.00051;115.34392;75;4.0119047;7;3.7407408;8;2;2;1.287037;2;14.050632;111;71;0.16136363;37;9;12;9;35;11;72;85;33;3;579;90;428;0.21028037;0.54172903;0.41829896;0.029881505;0.0288;0.017191082;0.011443393;1433.3334;766.6667;722.2222;2.8509078;109.444046;218.68013;198;1.8876405;4;1.8645834;4;1.3493975;2;1;1;6.857143;81;132;0.3084112;34;18;31;31;27;2;52;1;1;1;195;81;173;0.4682081;0.57610005;0.5602341;0.023480663;0.024483917;0.015757222;0.012544428;271.60495;432.09875;481.48148;36.988384;48.754486;96.17692;105;1.4;3;1.5294118;3;2.3125;6;1.1111112;2;2.7833333;6;101;0.58381504;41;19;13;22;70;2;10;66;2;1;7;2
