 ;image;tot_root_length;n_primary;tot_prim_length;mean_prim_length;mean_prim_diameter;mean_lat_density;n_laterals;tot_lat_length;mean_lat_length;mean_lat_diameter;mean_lat_angle
1;sim-0.05-0.2-10-0.3-2-0.5-0.6-20-1.rsml;407.279;5;208;42;0.559;0.504;30;180;6.576;0.129;17.599
2;sim-0.05-0.2-10-0.3-2-0.5-0.6-20-2.rsml;410.177;5;211;42.552;0.559;0.541;29;183;6.808;0.128;20.723
3;sim-0.05-0.2-10-0.3-2-0.5-0.6-20-3.rsml;404.089;5;205;41.244;0.559;0.586;30;182;6.596;0.13;19.273
4;sim-0.05-0.2-10-0.3-2-0.5-0.6-20-4.rsml;409.623;5;207;41.819;0.559;0.485;31;184;6.469;0.13;19.791
5;sim-0.05-0.2-10-0.3-2-0.5-0.6-20-5.rsml;393.791;5;208;42.21;0.559;0.553;28;168;6.526;0.129;20.251
6;sim-0.05-0.2-10-0.3-2-0.5-0.8-20-1.rsml;704.618;5;285;57.392;0.745;0.566;53;394;7.88;0.164;17.618
7;sim-0.05-0.2-10-0.3-2-0.5-0.8-20-2.rsml;733.54;5;284;57.218;0.745;0.556;53;422;8.442;0.164;21.502
8;sim-0.05-0.2-10-0.3-2-0.5-0.8-20-3.rsml;734.405;5;288;57.99;0.745;0.551;53;422;8.386;0.163;20.215
9;sim-0.05-0.2-10-0.3-2-0.5-0.8-20-4.rsml;718.333;5;285;57.546;0.745;0.576;53;411;8.125;0.164;18.898
10;sim-0.05-0.2-10-0.3-2-0.5-0.8-20-5.rsml;722.83;5;284;57.35;0.745;0.574;53;410;8.228;0.163;17.459
11;sim-0.05-0.2-10-0.3-2-0.5-1-20-1.rsml;1146.414;5;367;74.094;0.931;0.523;76;737;10.21;0.197;19.482
12;sim-0.05-0.2-10-0.3-2-0.5-1-20-2.rsml;1149.054;5;368;74.096;0.931;0.505;76;741;10.244;0.198;19.159
13;sim-0.05-0.2-10-0.3-2-0.5-1-20-3.rsml;1135.053;5;367;73.857;0.931;0.524;78;727;9.818;0.197;17.231
