;image;Rep;Is; areaTotal; width; depth; ratio w/d; CoM X; CoM Y; Densell1; Densell2; Densell3; Densell4; DensRect1; DensRect2; DensRect3; Directionality; LengthBlancs1; LengthBlancs2; nTips; meanhor4; maxhor4; meanhor3; maxhor3; meanhor2; maxhor2; meanhor1; maxhor1; meanvert; maxvert; number; numberdensity; X1;X2;X3;X4;X5;X6;X7;X8;X9;X10; areaPrim; width; depth; ratio w/d; CoM X; CoM Y; Densell1; Densell2; Densell3; Densell4; DensRect1; DensRect2; DensRect3; Directionality; LengthBlancs1; LengthBlancs2; nTips; meanhor4; maxhor4; meanhor3; maxhor3; meanhor2; maxhor2; meanhor1; maxhor1; meanvert; maxvert; number; numberdensity; X1;X2;X3;X4;X5;X6;X7;X8;X9;X10; areaLat; width; depth; ratio w/d; CoM X; CoM Y; Densell1; Densell2; Densell3; Densell4; DensRect1; DensRect2; DensRect3; Directionality; LengthBlancs1; LengthBlancs2; nTips; meanhor4; maxhor4; meanhor3; maxhor3; meanhor2; maxhor2; meanhor1; maxhor1; meanvert; maxvert; number; numberdensity; X1;X2;X3;X4;X5;X6;X7;X8;X9;X10; EDMmax; LatDiam
2;sim-0.05-0.2-10-0.3-2-0.5-0.6-20 ;2;Data;4120;161;441;0.36507937;0.6158355;0.41688022;0.15804195;0.095996186;0.066628374;0.04239032;6211.18;4875.7764;1993.7888;8.06574;63.386475;86.59119;189;5.095238;9;4.287037;8;2.675926;5;1.2568808;2;9.654676;88;221;0.5011338;93;35;12;0;108;18;122;100;112;4;539;159;430;0.36976743;0.4969195;0.43474782;0.009694478;0.009101702;0.008437574;0.007225806;723.27045;295.59747;220.1258;10.8921585;115.16944;229.4014;210;1.7888889;4;1.5376344;3;1.4880953;3;1.0674157;2;3.6369863;61;191;0.44418603;95;45;23;1;109;12;109;86;109;1;424;105;203;0.51724136;0.8834007;0.46784085;0.058279373;0.037646316;0.027814822;0.010881543;685.7143;961.9048;580.9524;32.945515;57.706154;114.947815;208;2;4;2.468085;4;2.1463416;5;1.0833334;2;4.5238094;16;248;1.2216749;46;32;0;78;67;36;52;105;10;2;9;1
7;sim-0.05-0.2-10-0.3-2-0.5-0.8-20 ;2;Data;7753;122;608;0.20065789;0.61550844;0.405298;0.41693637;0.21264262;0.10091344;0.06520708;17991.803;13106.558;6721.3115;3.4552789;55.59051;66.66889;289;6.88;14;5.6;12;2.5533333;6;1.3266667;2;22.588236;93;338;0.5559211;45;18;23;4;45;27;86;98;46;4;786;118;602;0.19601329;0.46135765;0.36681587;0.04369748;0.023862215;0.008952349;0.006248395;1923.7288;1779.661;305.08475;3.8537056;153.9513;306.7279;243;2.1510792;6;2.008;5;1.3030303;3;1.1038961;2;6.7345133;56;150;0.24916944;53;28;23;5;0;2;73;95;42;118;872;99;337;0.29376855;0.55326194;0.44012198;0.024506874;0.054695357;0.035952065;0.017332861;1656.5657;1595.9596;1676.7677;34.46064;88.60023;176.24132;375;3.390625;9;3.292683;7;2.5844157;7;1.5873016;3;8.489362;25;498;1.4777448;27;8;17;54;37;47;68;50;13;2;12;1
12;sim-0.05-0.2-10-0.3-2-0.5-1-20 ;2;Data;15104;115;772;0.14896373;0.64243156;0.38985553;0.45875937;0.2783544;0.17327206;0.13767852;28652.174;21000;12339.131;5.332503;23.171959;56.768562;53;10.926829;22;9.172775;17;2.9633508;7;1.2303665;2;44.742268;149;1;0.001295337;21;7;14;72;61;44;80;87;30;5;1143;99;749;0.13217624;0.60986507;0.37085375;0.051136363;0.021554066;0.011798608;0.012061622;2454.5454;1848.4849;1030.303;21.250854;189.65495;378.31863;342;2.5523255;6;2.0344827;6;1.2692307;4;1.0769231;2;11.120879;70;233;0.31108144;25;48;9;0;56;24;27;52;99;1;1151;113;474;0.23839663;0.54091865;0.4327048;0.040088266;0.047504432;0.03697517;0.007296812;1991.1504;2168.1416;2194.6902;31.29522;122.48265;243.75807;557;3.2421052;8;3.2807016;8;2.963964;7;1.375;3;10.685715;52;706;1.4894515;49;24;34;51;50;25;71;68;7;3;13;1
17;sim-0.05-0.2-10-0.3-2-1-0.6-20 ;2;Data;4190;155;435;0.35632184;0.7045454;0.42318654;0.19010495;0.11554979;0.059122734;0.04534346;6658.0645;4793.5483;2167.742;11.116643;70.19684;107.77136;136;5.425;15;4.504673;8;1.752381;4;1;1;8.918518;51;123;0.28275862;63;32;10;125;140;18;96;137;30;4;561;152;428;0.35514018;0.5932135;0.38995162;0.020637898;0.014402004;0.006456061;0.009317704;940.7895;467.10526;276.3158;21.4402;113.54735;227.0947;334;2.1978023;4;1.6633663;3;1.5172414;3;1;1;3.7414966;28;215;0.50233644;64;32;11;125;140;11;94;134;1;1;322;109;194;0.5618557;0.8149752;0.49401292;0.019444445;0.022792937;0.02604865;0.009991674;467.88992;385.3211;422.01834;42.678;56.435802;111.50785;150;2.1111112;4;1.7575758;4;1.5348837;3;1.5;3;3.4328358;10;149;0.76804125;18;10;14;33;49;26;72;36;12;1;7;2
22;sim-0.05-0.2-10-0.3-2-1-0.8-20 ;2;Data;8014;159;606;0.26237625;0.532823;0.3901652;0.3165272;0.17483889;0.08019976;0.035820987;15163.522;10389.9375;6528.302;4.227328;51.74354;77.318184;260;8.262295;26;5.3133335;10;2.8175676;6;1.3509934;2;17.5;98;193;0.31848186;72;20;21;7;75;37;137;66;68;5;858;153;601;0.2545757;0.4433856;0.37025896;0.032864865;0.016627427;0.009634168;0.004847832;1660.1307;895.42487;732.0261;5.8751874;155.95512;310.69278;295;2.5323741;5;1.717742;3;1.4678899;3;1.0666667;2;5.838028;71;206;0.34276205;78;79;18;5;0;18;72;63;1;153;807;142;332;0.42771083;0.49877393;0.38924283;0.04642249;0.041654613;0.020303264;0.007268435;1500;1267.6056;936.6197;40.65787;90.47099;180.54639;436;4.230769;27;3.3670886;7;2.2857144;6;1.4067796;3;6.140625;22;339;1.0210843;78;75;17;75;89;25;40;89;2;1;9;3
27;sim-0.05-0.2-10-0.3-2-1-1-20 ;2;Data;14424;166;772;0.2150259;0.49099603;0.3935449;0.49717602;0.2432418;0.15180685;0.037667237;24373.494;20885.543;18024.096;2.5253952;28.136948;108.898705;47;10.134147;20;8.518325;18;3.8062828;11;1.3403141;2;26.757765;193;1;0.001295337;69;36;39;42;89;41;98;66;45;5;1275;98;765;0.12810458;0.7786755;0.37220195;0.06388596;0.030010033;0.018676542;0.008530132;3438.7754;2459.1836;1153.0613;5.551294;193.62076;386.12173;298;2.1965318;9;2.0944445;6;1.4397163;4;1.0545454;2;18.877193;92;196;0.25620916;43;11;3;6;53;11;82;61;41;1;1017;163;468;0.3482906;0.44453192;0.41272828;0.034033503;0.030257454;0.018034264;0.005746894;1466.2577;1386.503;1214.7239;41.885212;123.97581;247.95161;515;3.2783506;11;3.0458715;8;2.1881187;7;1.4142857;3;6.827586;25;473;1.0106838;55;62;15;71;106;76;44;88;1;4;13;1
32;sim-0.05-0.2-10-0.3-4-0.5-0.6-20 ;2;Data;3727;78;436;0.17889908;0.69800586;0.44149655;0.34593022;0.22716297;0.086925715;0.06241906;11423.077;10141.025;4448.718;4.370219;47.84588;91.354744;84;4.0602407;7;2.457944;5;1.6448598;3;1;1;15.964286;178;69;0.15825687;23;18;5;20;15;10;44;71;56;4;543;75;432;0.1736111;0.4438674;0.4184678;0.039506175;0.034119107;0.012909632;0.010909442;2080;1186.6666;253.33333;4.2579017;109.65856;219.31712;154;1.9381443;4;1.6881721;3;1.4772727;2;1.0943396;2;7.4084506;87;95;0.2199074;25;18;6;20;16;6;42;1;54;1;161;71;187;0.37967914;0.45993355;0.5037865;0.019519519;0.023976024;0.013914095;0.008243646;183.09859;619.7183;281.69016;41.41601;50.32892;100.65784;104;1.5555556;3;1.8888888;4;1.2173913;3;1.2352941;3;2.6607144;8;84;0.44919786;9;10;21;13;22;2;29;1;2;1;7;2
37;sim-0.05-0.2-10-0.3-4-0.5-0.8-20 ;2;Data;7345;119;606;0.19636963;0.71937746;0.40940213;0.16945374;0.19222139;0.10584553;0.072601736;15907.563;10067.227;7126.0503;3.579402;31.814936;53.256977;125;4.784;11;4.286667;7;2.6554055;5;1;1;17.861702;84;144;0.23762377;56;21;6;1;96;30;96;87;99;5;855;115;600;0.19166666;0.5406814;0.4335877;0.008766803;0.020764282;0.011125425;0.00896089;1469.5652;913.04346;1121.7391;7.814068;152.77762;305.55524;252;2.088889;4;1.6390977;4;1.6171875;3;1.08;2;7.205357;93;162;0.27;65;23;6;1;96;10;91;84;96;1;410;104;328;0.31707317;0.64519227;0.45969662;0.009569378;0.025258552;0.016825777;0.007209425;644.2308;759.61536;673.0769;41.148365;86.023254;172.04651;216;1.9056604;4;1.8169014;5;1.4354838;3;1.2708334;2;4.0729165;12;245;0.7469512;39;51;76;91;101;38;30;9;2;2;9;3
42;sim-0.05-0.2-10-0.3-4-0.5-1-20 ;2;Data;12533;120;769;0.15604681;0.6199823;0.4217617;0.36407554;0.34946316;0.16013245;0.06003409;25391.666;25841.666;16116.667;2.9865978;61.55896;68.68425;22;5.128049;11;5.694737;11;3.2368422;8;1.2827225;2;28.917526;132;1;0.00130039;53;26;8;49;45;29;72;76;15;6;772;96;761;0.1261498;0.53505504;0.4393626;0.012458472;0.027849982;0.013560268;0.0054291;1520.8334;1822.9166;1270.8334;6.7311826;192.50195;384.01172;248;1.5214286;3;1.5389222;3;1.344;3;1.0841122;2;8.085107;75;166;0.21813403;57;28;73;49;45;15;42;1;10;1;704;116;709;0.16361073;0.55979383;0.34407657;0.02191039;0.026485149;0.009711624;0.002262276;1586.2069;1784.4828;1060.3448;38.046776;180.3469;359.70682;319;2.030075;7;1.9295775;5;1.2916666;4;1;1;6.151786;18;453;0.63892806;72;85;9;60;0;1;1;64;1;116;13;5
47;sim-0.05-0.2-10-0.3-4-1-0.6-20 ;2;Data;4047;147;440;0.33409092;0.5212537;0.41711453;0.279476;0.09499478;0.061756976;0.046527464;7789.1157;3700.6802;2013.6055;4.468229;46.28102;129.95015;65;5.292683;12;3.7685184;6;2.074074;3;1.3703704;2;9.389313;97;86;0.19545455;61;22;15;25;65;16;98;130;52;4;575;130;432;0.30092594;0.5177592;0.39008656;0.03576538;0.012257282;0.008551308;0.010075172;1184.6154;415.3846;330.76923;6.220931;112.929184;225.56818;250;2.128713;4;1.4731183;4;1.3521127;2;1.0793651;2;4.642857;47;188;0.4351852;50;53;127;10;51;8;50;1;1;1;176;108;197;0.5482234;0.53940445;0.42529994;0.003780718;0.020356234;0.009007283;0.004111842;296.2963;379.62964;212.96297;40.819687;56.82429;112.76968;70;2.0769231;7;1.6410257;4;1;1;1;1;2.0246913;8;100;0.5076142;71;43;59;0;90;29;36;3;108;1;9;2
